comparison,sequence_length,candidate_method,candidate_family,resident_kv_heads_r,prefill_cuda_overhead_percent,ttft_cuda_overhead_percent,decode_first_cuda_overhead_percent,steady_decode_cuda_overhead_percent,steady_decode_cuda_speed_ratio,peak_decode_gpu_allocated_saving_gib,persistent_kv_gpu_saving_gib,candidate_cpu_kv_gib,candidate_h2d_gib,candidate_d2h_gib,all_generated_sequences_match_standard,all_step_top1_match_standard,reference_method,prefill_cuda_change_percent,steady_decode_cuda_change_percent,async_over_sync_steady_speed_ratio,sync_h2d_gib,async_h2d_gib,async_h2d_event_total_ms,same_persistent_gpu_kv_gib,bidirectional_over_async_steady_speed_ratio,bidirectional_h2d_gib,bidirectional_d2h_gib,bidirectional_blocking_d2h_copies
candidate_vs_standard,4096,stagekv_sync_r0,sync,0,693.233296943111,693.233296943111,16835.88390017051,16259.125723990664,0.006112796104583386,0.24594593048095703,0.22040557861328125,0.22040557861328125,6.8077392578125,0.22040557861328125,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_sync_r1,sync,1,719.1142194339053,719.1142194339053,11395.459573271144,9458.329187746383,0.010462079515758707,0.16391468048095703,0.16530418395996094,0.16530418395996094,5.105804443359375,0.16530418395996094,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_sync_r2,sync,2,691.9022239636366,691.9022239636366,10768.169227842296,9010.631663744327,0.010976187348013316,0.13100814819335938,0.11020278930664062,0.11020278930664062,3.40386962890625,0.11020278930664062,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_sync_r4,sync,4,3.5898104117815466,3.5898104117815466,14.65830792176883,14.849032246077009,0.8707082510346167,0.027862548828125,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_async_r0,async,0,766.54350021903,766.54350021903,16762.023010688234,16184.510853911872,0.006140804651555006,0.23850250244140625,0.22040557861328125,0.22040557861328125,6.8077392578125,0.22040557861328125,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_async_r1,async,1,713.5460473358311,713.5460473358311,9786.611275353642,10187.779577531222,0.009720270467147506,0.15647125244140625,0.16530418395996094,0.16530418395996094,5.105804443359375,0.16530418395996094,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_async_r2,async,2,655.1636723716044,655.1636723716044,11607.134706109804,8981.58247873287,0.011011296790419367,0.1249852180480957,0.11020278930664062,0.11020278930664062,3.40386962890625,0.11020278930664062,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_async_r4,async,4,3.387998071975118,3.387998071975118,13.179029770731843,15.516543133061989,0.8656768743920195,0.027862548828125,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_bidirectional_r0,bidirectional,0,765.3029670110913,765.3029670110913,18860.120064244737,18547.319235403524,0.005362701133476682,0.23618030548095703,0.22040557861328125,0.22040557861328125,6.806083679199219,0.22040557861328125,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_bidirectional_r1,bidirectional,1,668.1630941847665,668.1630941847665,10627.857799832984,10285.962262854151,0.009628380834547647,0.15414905548095703,0.16530418395996094,0.16530418395996094,5.104562759399414,0.16530418395996094,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_bidirectional_r2,bidirectional,2,695.046310550522,695.046310550522,8797.086637935543,9824.1322014954,0.010076447791065467,0.12282943725585938,0.11020278930664062,0.11020278930664062,3.4030418395996094,0.11020278930664062,True,True,,,,,,,,,,,,
candidate_vs_standard,4096,stagekv_bidirectional_r4,bidirectional,4,1.8920093195620824,1.8920093195620824,6.5229176402622935,7.415517346028255,0.9309641890739128,-0.003501415252685547,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,
async_vs_sync_same_residency,4096,stagekv_async_r0,,0,,,,,,,,,,,,,stagekv_sync_r0,9.241947300804831,-0.4561054871616399,1.0045819534125502,6.8077392578125,6.8077392578125,101651.61441209912,True,,,,
bidirectional_vs_async_same_residency,4096,stagekv_bidirectional_r0,,0,,,,,,,,,,,,,stagekv_async_r0,-0.1431587921004729,14.509544699797083,,,6.8077392578125,,True,0.8732896481438651,6.806083679199219,0.22040557861328125,0.0
async_vs_sync_same_residency,4096,stagekv_async_r2,,2,,,,,,,,,,,,,stagekv_sync_r2,-4.6392787493572225,-0.31884929699286246,1.0031986919768097,3.40386962890625,3.40386962890625,55972.586256551745,True,,,,
bidirectional_vs_async_same_residency,4096,stagekv_bidirectional_r2,,2,,,,,,,,,,,,,stagekv_async_r2,5.281323723328124,9.277565058023796,,,3.40386962890625,,True,0.9151009170720666,3.4030418395996094,0.11020278930664062,0.0
async_vs_sync_same_residency,4096,stagekv_async_r1,,1,,,,,,,,,,,,,stagekv_sync_r1,-0.679779689567861,7.6315679807301695,0.9290954491892519,5.105804443359375,5.105804443359375,62919.925864359735,True,,,,
bidirectional_vs_async_same_residency,4096,stagekv_bidirectional_r1,,1,,,,,,,,,,,,,stagekv_async_r1,-5.578412346748285,0.954362256529695,,,5.105804443359375,,True,0.990546597143523,5.104562759399414,0.16530418395996094,0.0
async_vs_sync_same_residency,4096,stagekv_async_r4,,4,,,,,,,,,,,,,stagekv_sync_r4,-0.19481871721185318,0.5812072369532739,0.9942215126173218,0.0,0.0,0.0,True,,,,
bidirectional_vs_async_same_residency,4096,stagekv_bidirectional_r4,,4,,,,,,,,,,,,,stagekv_async_r4,-1.446965586248794,-7.012870682688521,,,0.0,,True,1.0754176490249272,0.0,0.0,0.0
