method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
stagekv_async_r1,async,1,4096,1,1,prefill_ttft,220,2963.6284029111266,2963.642578125,0.0
stagekv_async_r1,async,1,4096,1,2,decode_first,16,2187.083155848086,2187.090576171875,2002.0035814642906
stagekv_async_r1,async,1,4096,1,3,decode_steady,15,2596.654369030148,2581.579833984375,2174.399605989456
stagekv_async_r1,async,1,4096,1,4,decode_steady,15,2503.125039394945,2503.136474609375,2202.212651312351
stagekv_async_r1,async,1,4096,1,5,decode_steady,4,2011.934180278331,2004.389892578125,1796.052921950817
stagekv_async_r1,async,1,4096,1,6,decode_steady,220,2020.9051198326051,2020.912109375,1934.8925795704126
stagekv_async_r1,async,1,4096,1,7,decode_steady,16,2599.1226178593934,2599.13330078125,2409.4553956985474
stagekv_async_r1,async,1,4096,1,8,decode_steady,15,1895.548903848976,1883.409423828125,1658.8715909719467
stagekv_async_r1,async,1,4096,1,9,decode_steady,15,3300.9790163487196,3300.995849609375,3070.714231789112
stagekv_async_r1,async,1,4096,1,10,decode_steady,4,2599.1824897937477,2599.19384765625,2385.2964488863945
stagekv_async_r1,async,1,4096,1,11,decode_steady,220,2602.104111108929,2602.114990234375,2493.511797785759
stagekv_async_r1,async,1,4096,1,12,decode_steady,16,1907.1353860199451,1907.1446533203125,1851.4670640826225
stagekv_async_r1,async,1,4096,1,13,decode_steady,15,2199.26845934242,2199.276611328125,1938.4730585217476
stagekv_async_r1,async,1,4096,1,14,decode_steady,15,1717.5730466842651,1708.020751953125,1431.3357440829277
stagekv_async_r1,async,1,4096,1,15,decode_steady,4,2483.0460413359106,2483.053466796875,2229.4775379002094
stagekv_async_r1,async,1,4096,1,16,decode_steady,220,3416.6107908822596,3416.61376953125,2858.588295340538
stagekv_async_r1,async,1,4096,1,17,decode_steady,16,3118.8509319908917,3118.848388671875,2660.2159690260887
stagekv_async_r1,async,1,4096,1,18,decode_steady,15,2874.9627713114023,2797.2197265625,2572.414631664753
stagekv_async_r1,async,1,4096,1,19,decode_steady,15,2701.9843640737236,2701.98876953125,2670.4278275966644
stagekv_async_r1,async,1,4096,1,20,decode_steady,4,2083.6740899831057,2083.681396484375,1697.0506612956524
stagekv_async_r1,async,1,4096,1,21,decode_steady,220,1984.698054380715,1984.7056884765625,1850.6597409844398
stagekv_async_r1,async,1,4096,1,22,decode_steady,16,2077.9478922486305,2077.955810546875,1956.338462293148
stagekv_async_r1,async,1,4096,1,23,decode_steady,15,2096.982922870666,2096.985107421875,1844.33616361022
stagekv_async_r1,async,1,4096,1,24,decode_steady,15,1983.8154800236225,1983.82080078125,1827.6618416309357
stagekv_async_r1,async,1,4096,1,25,decode_steady,4,2695.9979101084173,2696.009765625,2291.280799508095
stagekv_async_r1,async,1,4096,1,26,decode_steady,220,2396.229934412986,2396.239990234375,2185.421669125557
stagekv_async_r1,async,1,4096,1,27,decode_steady,16,2802.1791400387883,2802.19140625,2576.5197758972645
stagekv_async_r1,async,1,4096,1,28,decode_steady,15,1801.0657606646419,1801.0726318359375,1454.1350825726986
stagekv_async_r1,async,1,4096,1,29,decode_steady,15,1908.4558612667024,1908.463623046875,1855.8007616996765
stagekv_async_r1,async,1,4096,1,30,decode_steady,4,2177.729858085513,2177.73876953125,2013.608273267746
stagekv_async_r1,async,1,4096,1,31,decode_steady,220,2213.996210601181,2214.004638671875,1983.3808516263962
stagekv_async_r1,async,1,4096,1,32,decode_steady,16,84.78611893951893,84.7831039428711,61.53001606464386
stagekv_async_r2,async,2,4096,1,1,prefill_ttft,220,3496.2803926318884,3429.951171875,0.0
stagekv_async_r2,async,2,4096,1,2,decode_first,16,2819.637801963836,2819.643310546875,2734.194281101227
stagekv_async_r2,async,2,4096,1,3,decode_steady,15,2482.7806749381125,2482.791259765625,2248.794350862503
stagekv_async_r2,async,2,4096,1,4,decode_steady,15,2499.390759970993,2499.399658203125,2374.8319363594055
stagekv_async_r2,async,2,4096,1,5,decode_steady,4,1901.5877917408943,1901.5936279296875,1846.4597144126892
stagekv_async_r2,async,2,4096,1,6,decode_steady,220,2797.6890089921653,2797.701171875,2625.1323528289795
stagekv_async_r2,async,2,4096,1,7,decode_steady,16,1900.8851698599756,1900.8909912109375,1727.8124799728394
stagekv_async_r2,async,2,4096,1,8,decode_steady,15,2297.839759849012,2297.848876953125,2058.0208084583282
stagekv_async_r2,async,2,4096,1,9,decode_steady,15,2101.1009300127625,2101.108642578125,1769.4018330574036
stagekv_async_r2,async,2,4096,1,10,decode_steady,4,2899.1634980775416,2899.176513671875,2736.0416090488434
stagekv_async_r2,async,2,4096,1,11,decode_steady,220,1798.9851501770318,1798.9898681640625,1648.335834980011
stagekv_async_r2,async,2,4096,1,12,decode_steady,16,1699.2080244235694,1699.2132568359375,1532.1949110031128
stagekv_async_r2,async,2,4096,1,13,decode_steady,15,2097.5899030454457,2097.597412109375,2058.7349281311035
stagekv_async_r2,async,2,4096,1,14,decode_steady,15,1600.6007650867105,1600.6051025390625,1362.9374026060104
stagekv_async_r2,async,2,4096,1,15,decode_steady,4,2090.322536882013,2090.332275390625,1840.2846620082855
stagekv_async_r2,async,2,4096,1,16,decode_steady,220,1917.3742742277682,1917.380615234375,1690.8978893756866
