method,family,resident_kv_heads_r,sequence_length,status,successful_trials,prefill_wall_ms_mean,prefill_wall_ms_std,prefill_cuda_ms_mean,prefill_cuda_ms_std,time_to_first_token_wall_ms_mean,time_to_first_token_wall_ms_std,time_to_first_token_cuda_ms_mean,time_to_first_token_cuda_ms_std,prefill_tokens_per_second_mean,prefill_tokens_per_second_std,decode_first_step_wall_ms_mean,decode_first_step_wall_ms_std,decode_first_step_cuda_ms_mean,decode_first_step_cuda_ms_std,decode_steady_wall_mean_ms_mean,decode_steady_wall_mean_ms_std,decode_steady_cuda_mean_ms_mean,decode_steady_cuda_mean_ms_std,decode_steady_tokens_per_second_mean,decode_steady_tokens_per_second_std,prefill_peak_gpu_allocated_gib_mean,prefill_peak_gpu_allocated_gib_std,prefill_peak_gpu_reserved_gib_mean,prefill_peak_gpu_reserved_gib_std,decode_peak_gpu_allocated_gib_mean,decode_peak_gpu_allocated_gib_std,decode_peak_gpu_reserved_gib_mean,decode_peak_gpu_reserved_gib_std,cache_gpu_gib_mean,cache_gpu_gib_std,cache_cpu_gib_mean,cache_cpu_gib_std,cache_total_gib_mean,cache_total_gib_std,staging_gpu_gib_mean,staging_gpu_gib_std,h2d_gib_mean,h2d_gib_std,d2h_gib_mean,d2h_gib_std,async_h2d_event_total_ms_mean,async_h2d_event_total_ms_std,async_d2h_append_calls_mean,async_d2h_append_calls_std,non_blocking_d2h_tensor_copies_mean,non_blocking_d2h_tensor_copies_std,blocking_d2h_tensor_copies_mean,blocking_d2h_tensor_copies_std,decode_steady_cuda_p50_ms_pooled,decode_steady_cuda_p95_ms_pooled,decode_steady_wall_p50_ms_pooled,decode_steady_wall_p95_ms_pooled,all_generated_sequences_match_standard,all_step_top1_match_standard
standard,standard,,4096,ok,5,409.44901928305626,0.5352368397043553,409.43677978515626,0.539845825497023,409.44901928305626,0.5352368397043553,409.43677978515626,0.539845825497023,10004.000372386212,13.192288639019349,22.22304278984666,0.4411981121300663,22.21838035583496,0.4406101695668229,21.668790833403666,0.2441517349441721,21.663783912658694,0.24412882119973892,46.164717419225106,0.5246525917869526,14.999261379241943,0.0,15.20703125,0.0,14.511165142059326,0.0,15.20703125,0.0,0.22040557861328125,0.0,0.0,0.0,0.22040557861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.790623664855957,22.1686785697937,21.79515711031854,22.173388162627816,True,True
stagekv_sync_r0,sync,0,4096,ok,5,3300.684867054224,257.0783512045855,3247.7888671875,261.809035913547,3300.684867054224,257.0783512045855,3247.7888671875,261.809035913547,1267.6367123609198,100.51024639391315,3762.9588454961777,981.4747342038523,3762.8791015625,981.3378606773183,3546.649123057723,226.71838396130275,3544.0056468454995,226.62715678346288,0.2830573500521429,0.017432745256330418,14.780145168304443,0.0,15.03515625,0.0,14.26521921157837,0.0,15.03515625,0.0,0.0,0.0,0.22040557861328125,0.0,0.22040557861328125,0.0,0.0,0.0,6.8077392578125,0.0,0.22040557861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.3802490234375,5205.30458984375,3400.422034552321,5209.218828519806,True,True
stagekv_sync_r1,sync,1,4096,ok,5,3367.219992633909,314.80405725365625,3353.7548828125,286.8525558942991,3367.219992633909,314.80405725365625,3353.7548828125,286.8525558942991,1228.0075162637843,97.92756140321391,2554.1434781625867,473.5365638142613,2554.104931640625,473.5307148515007,2074.4321221640953,193.02366246157305,2070.6957808939615,193.25255524330706,0.4862986603152433,0.045361297657917646,14.862176418304443,0.0,15.03515625,0.0,14.34725046157837,0.0,15.03515625,0.0,0.05510139465332031,0.0,0.16530418395996094,0.0,0.22040557861328125,0.0,0.0,0.0,5.105804443359375,0.0,0.16530418395996094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.62353515625,2892.5442260742184,2003.2547013834119,2892.608919157646,True,True
stagekv_sync_r2,sync,2,4096,ok,5,3254.8917897976935,498.17995967510836,3242.33896484375,515.483773563778,3254.8917897976935,498.17995967510836,3242.33896484375,515.483773563778,1288.1059632096294,196.76241610553,2414.758470002562,557.9397618800858,2414.7311767578126,557.945847388879,1976.6279265160363,222.7138901081268,1973.7075567118327,221.07605472426704,0.5122618148721906,0.06280154225505263,14.895556449890137,0.0,15.19140625,0.0,14.380156993865967,0.0,15.19140625,0.0,0.11020278930664062,0.0,0.11020278930664062,0.0,0.22040557861328125,0.0,0.0,0.0,3.40386962890625,0.0,0.11020278930664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.62939453125,2745.5421386718735,1980.7277135550976,2745.564241171813,True,True
stagekv_sync_r4,sync,4,4096,ok,5,424.1597658023238,1.4787304382589994,424.13478393554686,1.4724389360792685,424.1597658023238,1.4787304382589994,424.13478393554686,1.4724389360792685,9657.400895441328,33.65354317162039,25.47979773953557,0.9166893665826132,25.475218963623046,0.9168558957753922,24.8859986414512,0.35175515957385173,24.880646171569825,0.3519372022906829,40.19831078735874,0.5681238576548387,15.000550746917725,0.0,15.3671875,0.0,14.483302593231201,0.0,15.3671875,0.0,0.22040557861328125,0.0,0.0,0.0,0.22040557861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.91331195831299,25.49324836730957,24.92853533476591,25.497960741631687,True,True
stagekv_async_r0,async,0,4096,ok,5,3548.2260395772755,223.68776476058125,3547.947802734375,223.92541656660086,3548.2260395772755,223.68776476058125,3547.947802734375,223.92541656660086,1157.9963279737901,69.89890063544397,3746.504814270884,807.8437813068132,3746.468408203125,807.8717234337081,3533.7151309723654,194.70778489005073,3527.841242624919,199.08063828120012,0.28417394557668124,0.015841874262050755,14.780145168304443,0.0,15.0078125,0.0,14.27266263961792,0.0,15.02734375,0.0,0.0,0.0,0.22040557861328125,0.0,0.22040557861328125,0.0,0.007871627807617188,0.0,6.8077392578125,0.0,0.22040557861328125,0.0,101651.61441209912,7429.98672301867,0.0,0.0,0.0,0.0,0.0,0.0,3505.0987548828125,5109.055688476562,3508.9013141114265,5109.032066189684,True,True
stagekv_async_r1,async,1,4096,ok,5,3343.5526734218,370.4623886365969,3330.95673828125,377.00356259197093,3343.5526734218,370.4623886365969,3330.95673828125,377.00356259197093,1241.9549242814567,135.7618255300593,2197.972520068288,218.71648386378766,2196.6448974609375,219.22134140217005,2233.952232822776,103.50883124351482,2228.7223370869956,105.36459594334417,0.4495040345939407,0.021595840869509348,14.862176418304443,0.0,15.0078125,0.0,14.35469388961792,0.0,15.02734375,0.0,0.05510139465332031,0.0,0.16530418395996094,0.0,0.22040557861328125,0.0,0.007871627807617188,0.0,5.105804443359375,0.0,0.16530418395996094,0.0,62919.925864359735,2536.478543782122,0.0,0.0,0.0,0.0,0.0,0.0,2192.0736083984375,3019.406652832031,2192.2186750452965,3019.4541949778795,True,True
stagekv_async_r2,async,2,4096,ok,5,3117.965337820351,273.43863258234484,3091.917822265625,275.4647801065894,3117.965337820351,273.43863258234484,3091.917822265625,275.4647801065894,1333.6536071295177,125.4811597619125,2601.2256540358067,603.9788222537815,2601.1357177734376,603.8706273299109,1971.8832817611594,144.24760247549975,1967.414404042562,146.01756334755555,0.5104108612127595,0.03592956226501215,14.895556449890137,0.0,15.19140625,0.0,14.38617992401123,0.0,15.2109375,0.0,0.11020278930664062,0.0,0.11020278930664062,0.0,0.22040557861328125,0.0,0.007871627807617188,0.0,3.40386962890625,0.0,0.11020278930664062,0.0,55972.586256551745,4550.910838354907,0.0,0.0,0.0,0.0,0.0,0.0,1902.0948486328125,2748.7628173828116,1904.356467537582,2748.838794301263,True,True
stagekv_async_r4,async,4,4096,ok,5,423.32824217155576,1.1921525657437653,423.30848999023436,1.1912323747845959,423.32824217155576,1.1921525657437653,423.30848999023436,1.1912323747845959,9676.219818474916,27.282916198576856,25.151514448225498,0.5668679125910381,25.146547317504883,0.5662540639129607,25.030615478754044,0.43443871971256914,25.025254287719726,0.4337365180524601,39.96913709629945,0.68541283363299,15.000550746917725,0.0,15.3671875,0.0,14.483302593231201,0.0,15.3671875,0.0,0.22040557861328125,0.0,0.0,0.0,0.22040557861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.985088348388672,25.873848533630373,24.989617057144642,25.87932120077312,True,True
stagekv_bidirectional_r0,bidirectional,0,4096,ok,5,3589.4328197464347,301.44699456675795,3542.868603515625,293.04716021887725,3589.4328197464347,301.44699456675795,3542.868603515625,293.04716021887725,1162.2242630691521,92.35769181153375,4215.073824301362,1359.474976793869,4212.631591796875,1354.9231174467036,4046.1150806583464,679.7762154136375,4039.7149446614585,677.1245135586827,0.25222907588977955,0.03501119688524365,14.780145168304443,0.0,15.02734375,0.0,14.27498483657837,0.0,15.046875,0.0,0.0,0.0,0.22040557861328125,0.0,0.22040557861328125,0.0,0.007871627807617188,0.0,6.806083679199219,0.0,0.22040557861328125,0.0,0.0,0.0,896.0,0.0,1792.0,0.0,0.0,0.0,3749.854736328125,6011.356689453125,3758.5669378750026,6053.408023295922,True,True
