method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
standard,standard,,4096,1,1,prefill_ttft,220,408.5156894288957,408.47564697265625,0.0
standard,standard,,4096,1,2,decode_first,16,23.88619026169181,23.882911682128906,0.0
standard,standard,,4096,1,3,decode_steady,15,20.966873969882727,20.963327407836914,0.0
standard,standard,,4096,1,4,decode_steady,15,20.938751753419638,20.934656143188477,0.0
standard,standard,,4096,1,5,decode_steady,4,21.020415239036083,21.01759910583496,0.0
standard,standard,,4096,1,6,decode_steady,220,20.968678407371044,20.965375900268555,0.0
standard,standard,,4096,1,7,decode_steady,16,20.959631074219942,20.956159591674805,0.0
standard,standard,,4096,1,8,decode_steady,15,20.939672831445932,20.935680389404297,0.0
standard,standard,,4096,1,9,decode_steady,15,20.964799914509058,20.961023330688477,0.0
standard,standard,,4096,1,10,decode_steady,4,24.219075217843056,24.203039169311523,0.0
standard,standard,,4096,1,11,decode_steady,220,21.9690571539104,21.965824127197266,0.0
standard,standard,,4096,1,12,decode_steady,16,20.960903260856867,20.957183837890625,0.0
standard,standard,,4096,1,13,decode_steady,15,20.92120936140418,20.9171199798584,0.0
standard,standard,,4096,1,14,decode_steady,15,20.92572720721364,20.921344757080078,0.0
standard,standard,,4096,1,15,decode_steady,4,20.916490349918604,20.91315269470215,0.0
standard,standard,,4096,1,16,decode_steady,220,20.91970620676875,20.915199279785156,0.0
standard,standard,,4096,1,17,decode_steady,16,20.918493624776602,20.915199279785156,0.0
standard,standard,,4096,1,18,decode_steady,15,20.929525140672922,20.926464080810547,0.0
standard,standard,,4096,1,19,decode_steady,15,20.933312363922596,20.929536819458008,0.0
standard,standard,,4096,1,20,decode_steady,4,20.93600621446967,20.932607650756836,0.0
standard,standard,,4096,1,21,decode_steady,220,20.92321263626218,20.92019271850586,0.0
standard,standard,,4096,1,22,decode_steady,16,20.930407103151083,20.926464080810547,0.0
standard,standard,,4096,1,23,decode_steady,15,20.930396858602762,20.926464080810547,0.0
standard,standard,,4096,1,24,decode_steady,15,20.929063204675913,20.925216674804688,0.0
