status,generated_token_ids,step_top1_ids,prefill_wall_ms,prefill_cuda_ms,time_to_first_token_wall_ms,time_to_first_token_cuda_ms,prefill_tokens_per_second,decode_step_wall_ms,decode_step_cuda_ms,decode_step_h2d_event_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_steady_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_ratio,theoretical_cache_gib,staging_gpu_gib,h2d_group_transfers,h2d_gib,d2h_gib,async_prefetch_groups,async_h2d_event_total_ms,h2d_event_timing_available,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,dedicated_transfer_stream_enabled,dedicated_d2h_stream_enabled,expected_layer_prefetches,layer_prefetch_calls,expected_lookahead_prefetches,lookahead_prefetch_calls,expected_layer0_fallbacks,layer0_fallback_prefetch_calls,layer_prefetch_hits,layer_prefetch_misses,expected_layer_slot_reuse_waits,layer_slot_reuse_waits,cross_layer_schedule_correct,generated_tokens,decode_forward_steps,method,family,resident_kv_heads_r,kv_group_size_g,sequence_length,trial,is_warmup,round_order_position,decode_tokens,same_generated_sequence_as_standard,all_step_top1_equal_as_standard
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",408.5156894288957,408.47564697265625,408.5156894288957,408.47564697265625,10027.525582875667,"[23.88619026169181, 20.966873969882727, 20.938751753419638, 21.020415239036083, 20.968678407371044, 20.959631074219942, 20.939672831445932, 20.964799914509058, 24.219075217843056, 21.9690571539104, 20.960903260856867, 20.92120936140418, 20.92572720721364, 20.916490349918604, 20.91970620676875, 20.918493624776602, 20.929525140672922, 20.933312363922596, 20.93600621446967, 20.92321263626218, 20.930407103151083, 20.930396858602762, 20.929063204675913, 20.938972011208534, 20.9538908675313, 20.948930643498898, 20.934464409947395, 20.920597948133945, 20.92066779732704, 20.923844072967768, 20.940294954925776]","[23.882911682128906, 20.963327407836914, 20.934656143188477, 21.01759910583496, 20.965375900268555, 20.956159591674805, 20.935680389404297, 20.961023330688477, 24.203039169311523, 21.965824127197266, 20.957183837890625, 20.9171199798584, 20.921344757080078, 20.91315269470215, 20.915199279785156, 20.915199279785156, 20.926464080810547, 20.929536819458008, 20.932607650756836, 20.92019271850586, 20.926464080810547, 20.926464080810547, 20.925216674804688, 20.935680389404297, 20.950016021728516, 20.944896697998047, 20.931455612182617, 20.917247772216797, 20.917247772216797, 20.92006492614746, 20.93667221069336]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",23.88619026169181,23.882911682128906,21.083435726662476,21.079403750101726,20.932031631469727,21.539122867584226,47.43967200662278,14.999261379241943,15.20703125,14.511165142059326,15.20703125,1.5856246948242188,1.5856246948242188,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,4096,1,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",2902.3576881736517,2825.60009765625,2902.3576881736517,2825.60009765625,1449.6035739089577,"[1900.428612716496, 1407.013735268265, 1802.8450086712837, 1400.6173610687256, 1702.0337213762105, 1501.3050809502602, 1585.394716821611, 1410.1610407233238, 2090.3472248464823, 1407.8112109564245, 1405.0889913924038, 1895.8253981545568, 1502.1598800085485, 1488.2576749660075, 2009.5496829599142, 2003.2978258095682, 1997.4886737763882, 1789.0189797617495, 1600.547580048442, 1709.3655779026449, 1702.0666529424489, 1696.7791449278593, 2003.5068751312792, 1600.3187019377947, 1584.7687488421798, 1411.1950960941613, 1399.5041023008525, 1500.9186118841171, 1902.5450879707932, 1487.1462271548808, 1510.447848122567]","[1900.423828125, 1400.369140625, 1802.8424072265625, 1400.61181640625, 1702.0283203125, 1501.2999267578125, 1585.3875732421875, 1410.154541015625, 2090.34033203125, 1407.8023681640625, 1405.0836181640625, 1895.8192138671875, 1502.1536865234375, 1488.251953125, 2009.5435791015625, 2003.2921142578125, 1997.4747314453125, 1789.0150146484375, 1600.542724609375, 1709.360107421875, 1702.0609130859375, 1696.774169921875, 2003.5020751953125, 1600.3131103515625, 1584.754638671875, 1411.1907958984375, 1399.498779296875, 1500.912841796875, 1902.5357666015625, 1487.1407470703125, 1510.443115234375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1900.428612716496,1900.423828125,1650.2442154257249,1650.016670735677,1592.850341796875,2006.8249023437497,0.6060544828035827,14.895556449890137,15.16015625,14.388335704803467,15.1796875,1.5856246948242188,1.5856246948242188,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,4096,1,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",2511.0190832056105,2511.013671875,2511.0190832056105,2511.013671875,1631.2137388489305,"[1387.8896716050804, 1304.1898277588189, 1205.8932050131261, 1292.2093253582716, 1196.1911329999566, 1301.8091721460223, 1201.6739631071687, 1197.6490346714854, 1087.0495019480586, 1212.6843240112066, 1195.4359570518136, 1394.3971418775618, 1212.4604359269142, 1399.9430341646075, 1401.2342151254416, 1298.6044860444963, 1396.9519292004406, 1490.6077370978892, 1408.4856351837516, 1399.5078871957958, 1202.3128047585487, 1601.681733969599, 1486.0206572338939, 1212.6651830039918, 1297.5402111187577, 1900.2175880596042, 1803.8079468533397, 1500.0635348260403, 1398.3963197097182, 1397.1420382149518, 1403.0621089041233]","[1387.88427734375, 1304.184814453125, 1199.1573486328125, 1292.2054443359375, 1196.1864013671875, 1301.802978515625, 1201.6688232421875, 1197.6435546875, 1006.5189208984375, 1212.68017578125, 1188.544189453125, 1394.39208984375, 1212.454833984375, 1399.93798828125, 1401.228271484375, 1298.599853515625, 1396.9451904296875, 1490.6009521484375, 1408.47998046875, 1399.5018310546875, 1202.30810546875, 1601.67529296875, 1486.014404296875, 1212.65966796875, 1297.5340576171875, 1900.210205078125, 1803.8016357421875, 1500.0582275390625, 1398.390869140625, 1397.13720703125, 1403.0562744140625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1387.8896716050804,1387.88427734375,1359.9962690845132,1356.8526529947917,1349.2884521484375,1712.84478149414,0.736999701325593,14.895556449890137,15.16015625,14.388335704803467,15.1796875,1.5856246948242188,1.5875778198242188,0.001953125,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,868,868,837,837,31,31,837,31,866,866,True,32,31,stagekv_cross_layer_r2,cross_layer,2,2,4096,1,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",1995.5954109318554,1995.589599609375,1995.5954109318554,1995.589599609375,2052.5262312460277,"[1004.1115237399936, 1395.8636089228094, 1399.4321199133992, 1800.0913467258215, 1502.2032200358808, 1597.074749879539, 1999.032345134765, 1400.6960741244256, 1399.5533920824528, 1700.0257847830653, 1402.969712857157, 1498.645355924964, 1696.9556659460068, 2003.9571360684931, 1386.7736686952412, 1400.4977666772902, 1308.8146257214248, 1300.7465372793376, 1288.8622279278934, 1310.5184980668128, 1503.7662899121642, 1786.5994470193982, 1213.4142979048193, 1596.8030309304595, 1200.4584879614413, 1498.0161311104894, 1299.725528806448, 1608.7621026672423, 1287.5771182589233, 1001.7881765961647, 1604.6342621557415]","[1004.1067504882812, 1395.857421875, 1399.4271240234375, 1800.084716796875, 1502.184326171875, 1597.0689697265625, 1999.02587890625, 1400.6895751953125, 1399.546875, 1700.0191650390625, 1402.95166015625, 1498.6331787109375, 1696.9451904296875, 2003.9505615234375, 1386.76904296875, 1400.49169921875, 1308.8092041015625, 1300.7403564453125, 1288.853515625, 1310.51171875, 1503.7603759765625, 1786.59326171875, 1213.408935546875, 1596.7972412109375, 1200.4515380859375, 1498.0096435546875, 1299.7181396484375, 1601.8367919921875, 1281.6844482421875, 1001.7860107421875, 1604.628173828125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1004.1115237399936,1004.1067504882812,1479.808623669669,1479.374491373698,1401.8206176757812,1909.5023559570307,0.6759613646382623,14.895556449890137,15.16015625,14.388335704803467,15.1796875,1.5875778198242188,1.5875778198242188,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,868,868,837,837,31,31,837,31,866,866,True,32,31,stagekv_cross_layer_r2,cross_layer,2,2,4096,2,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",415.2965317480266,415.292236328125,415.2965317480266,415.292236328125,9862.934198374285,"[21.505274809896946, 20.996529143303633, 20.916488021612167, 20.902441814541817, 20.922791212797165, 20.913331769406796, 20.913111977279186, 20.915437024086714, 20.915175788104534, 20.903744734823704, 20.92454396188259, 20.91200975701213, 20.932538900524378, 20.92065569013357, 20.926107186824083, 20.914353895932436, 20.921458024531603, 20.926086697727442, 20.94145491719246, 20.934913773089647, 20.934953819960356, 20.92574629932642, 20.934973377734423, 20.943639799952507, 20.946084056049585, 20.94144467264414, 20.950984209775925, 20.936866756528616, 20.942938048392534, 20.924814976751804, 20.944251213222742]","[21.501951217651367, 20.9932804107666, 20.91315269470215, 20.898815155029297, 20.919296264648438, 20.910079956054688, 20.909887313842773, 20.912128448486328, 20.91209602355957, 20.900127410888672, 20.921119689941406, 20.908735275268555, 20.929536819458008, 20.918272018432617, 20.923391342163086, 20.911104202270508, 20.918272018432617, 20.922367095947266, 20.937728881835938, 20.931583404541016, 20.930559158325195, 20.922143936157227, 20.930559158325195, 20.939775466918945, 20.941823959350586, 20.938623428344727, 20.947776794433594, 20.933631896972656, 20.938751220703125, 20.921215057373047, 20.940799713134766]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.505274809896946,21.501951217651367,20.929329050704837,20.925887807210287,20.922255516052246,20.94509801864624,47.78769766965094,14.999261379241943,15.20703125,14.511165142059326,15.20703125,1.5875778198242188,1.5875778198242188,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,4096,2,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",2500.1214421354234,2500.116455078125,2500.1214421354234,2500.116455078125,1638.3236835549749,"[989.3754939548671, 1796.830618288368, 1102.387278340757, 1002.043410204351, 997.6807348430157, 1297.1598370932043, 1202.6232271455228, 1097.0794958993793, 1003.1632077880204, 1285.7347507961094, 1215.1338309049606, 996.6359897516668, 1000.3337706439197, 996.0619946941733, 992.4405021592975, 1111.4079472608864, 1000.4484360106289, 1489.00877404958, 1411.579528823495, 1303.9484862238169, 1297.1582389436662, 1195.0917900539935, 904.354115948081, 1896.1824350990355, 2598.739453125745, 905.2390698343515, 2095.8374817855656, 1298.311888705939, 1301.0771991685033, 901.9912569783628, 1101.9869828596711]","[989.3662719726562, 1796.8233642578125, 1102.381103515625, 1002.0331420898438, 997.6749877929688, 1297.1533203125, 1202.6173095703125, 1097.0726318359375, 1003.1572265625, 1200.058349609375, 1215.1278076171875, 996.6303100585938, 1000.3271484375, 990.1701049804688, 992.4362182617188, 1111.4014892578125, 1000.4427490234375, 1489.00146484375, 1411.5736083984375, 1303.942138671875, 1297.1510009765625, 1195.0858154296875, 904.3474731445312, 1896.174560546875, 2598.71533203125, 905.2333984375, 2095.8291015625, 1298.3050537109375, 1301.07080078125, 901.9852905273438, 1101.980712890625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",989.3754939548671,989.3662719726562,1259.9223911141355,1256.8634338378906,1153.24365234375,2005.9845581054683,0.7956313892802608,14.895556449890137,15.16015625,14.388335704803467,15.1796875,1.5875778198242188,1.5875778198242188,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,4096,2,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",2018.365440890193,2018.3592529296875,2018.365440890193,2018.3592529296875,2029.3711310583467,"[989.1552440822124, 900.8716042153537, 1197.3298359662294, 1002.1018721163273, 1094.2397727631032, 903.8005168549716, 1309.9722601473331, 988.4968916885555, 899.9953009188175, 901.1312080547214, 895.7628509961069, 901.7914030700922, 1406.97550913319, 896.3805576786399, 997.5873217917979, 988.1929568946362, 1111.5948189981282, 1510.2911219000816, 1087.4499147757888, 1203.8423200137913, 2198.6950850114226, 1197.9095693677664, 1098.0318458750844, 1004.990158136934, 1497.8475631214678, 1497.9690657928586, 1190.1088133454323, 1016.9084500521421, 1599.0337980911136, 1795.5777449533343, 1598.9016499370337]","[989.149169921875, 900.8660278320312, 1197.3221435546875, 1002.0963745117188, 1002.44970703125, 903.7977294921875, 1304.0548095703125, 988.492431640625, 899.9893798828125, 901.1261596679688, 804.0038452148438, 901.7876586914062, 1406.957275390625, 896.374755859375, 997.58154296875, 904.9373779296875, 1111.590576171875, 1502.243896484375, 1087.4449462890625, 1203.8355712890625, 2198.68798828125, 1197.9039306640625, 1098.01953125, 1004.9863891601562, 1497.8408203125, 1497.9627685546875, 1107.6092529296875, 1016.9046630859375, 1599.026123046875, 1795.5714111328125, 1598.8961181640625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",989.1552440822124,989.149169921875,1196.459392722075,1184.3453735351563,1092.7322387695312,1707.12603149414,0.8443482976719002,14.895556449890137,15.16015625,14.388335704803467,15.1796875,1.5875778198242188,1.5875778198242188,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,4096,3,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",2583.778169937432,2583.77099609375,2583.778169937432,2583.77099609375,1585.2798124108133,"[1894.360639154911, 1000.4303520545363, 1094.1270771436393, 1506.1281197704375, 994.5901711471379, 999.7629360295832, 1100.095164962113, 1802.3486039601266, 1301.6788330860436, 1195.3749838285148, 904.6747586689889, 1094.7680161334574, 900.418161880225, 904.4010089710355, 997.4619429558516, 899.7266469523311, 1497.507591266185, 999.0527490153909, 901.2767267413437, 902.3647126741707, 899.488388095051, 1098.8522144034505, 997.5330410525203, 988.3111207745969, 912.547139916569, 1002.283344976604, 1898.2929401099682, 1298.6769322305918, 1904.5717231929302, 1194.6409870870411, 1299.9563682824373]","[1894.3519287109375, 1000.4251708984375, 1094.12158203125, 1506.1217041015625, 994.5852661132812, 999.7578125, 1100.09033203125, 1802.34228515625, 1301.6737060546875, 1195.368408203125, 904.670166015625, 1094.762451171875, 900.4131469726562, 904.3965454101562, 997.4561767578125, 899.72021484375, 1497.500732421875, 999.0479736328125, 901.2705078125, 902.3599243164062, 899.483642578125, 1098.84619140625, 997.5142211914062, 905.764892578125, 912.5437622070312, 1002.2778930664062, 1898.2850341796875, 1298.671630859375, 1904.564208984375, 1194.6348876953125, 1299.9505615234375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1894.360639154911,1894.3519287109375,1149.7114252454292,1146.954034423828,1001.3515319824219,1855.1107971191404,0.8718745215472821,14.895556449890137,15.16015625,14.388335704803467,15.1796875,1.5875778198242188,1.5875778198242188,0.0,0.11020278930664062,0.11020278930664062,0.22040557861328125,1.0,0.22040557861328125,0.007871627807617188,868,3.4030418395996094,0.11020278930664062,868,0.0,False,896,1792,0,True,True,868,868,837,837,31,31,837,31,866,866,True,32,31,stagekv_cross_layer_r2,cross_layer,2,2,4096,3,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",415.6516660004854,415.64739990234375,415.6516660004854,415.64739990234375,9854.5064902664,"[21.546087227761745, 20.997186191380024, 20.944556687027216, 20.92819707468152, 20.93496872112155, 20.92060213908553, 20.932123064994812, 20.925840828567743, 20.93365602195263, 20.936632063239813, 20.934747997671366, 20.92127315700054, 20.95568785443902, 20.989301148802042, 20.937744062393904, 20.93023993074894, 21.061806939542294, 20.947032142430544, 20.962451118975878, 20.943584851920605, 20.95742104575038, 21.064070984721184, 20.95520682632923, 20.950036589056253, 20.97675669938326, 20.95830300822854, 20.989662036299706, 20.950138103216887, 20.957290660589933, 20.938726142048836, 20.949085243046284]","[21.543872833251953, 20.993759155273438, 20.940799713134766, 20.924415588378906, 20.931232452392578, 20.917247772216797, 20.929471969604492, 20.922367095947266, 20.930559158325195, 20.93337631225586, 20.93222427368164, 20.91814422607422, 20.952064514160156, 20.985855102539062, 20.933631896972656, 20.926464080810547, 21.05855941772461, 20.943872451782227, 20.959104537963867, 20.939775466918945, 20.953088760375977, 21.06060791015625, 20.951040267944336, 20.946016311645508, 20.972448348999023, 20.955135345458984, 20.985855102539062, 20.945920944213867, 20.953920364379883, 20.934656143188477, 20.944896697998047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.546087227761745,21.543872833251953,20.956144311154883,20.95255037943522,20.944384574890137,21.02939929962158,47.72688679376678,14.999261379241943,15.20703125,14.511165142059326,15.20703125,1.5875778198242188,1.5875778198242188,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,4096,3,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",409.0870791114867,409.0828857421875,409.0870791114867,409.0828857421875,10012.64081866623,"[21.426463034003973, 20.942864008247852, 20.945367868989706, 20.95436630770564, 20.959604997187853, 20.954685751348734, 20.94666985794902, 20.952241960912943, 20.961428992450237, 20.951689686626196, 20.9392667748034, 20.942181814461946, 20.95966599881649, 20.953554194420576, 20.94746194779873, 20.995141938328743, 20.95442498102784, 20.971287041902542, 20.954725798219442, 20.939236041158438, 20.948544144630432, 20.975315012037754, 21.133642178028822, 20.982207730412483, 20.956460386514664, 20.967260003089905, 21.126959938555956, 20.938424859195948, 20.94856509938836, 21.111801266670227, 20.96016611903906]","[21.42207908630371, 20.938751220703125, 20.941791534423828, 20.951040267944336, 20.956096649169922, 20.951040267944336, 20.942848205566406, 20.948991775512695, 20.957183837890625, 20.94780731201172, 20.935680389404297, 20.938495635986328, 20.956159591674805, 20.950016021728516, 20.94380760192871, 20.99193572998047, 20.950016021728516, 20.967424392700195, 20.951040267944336, 20.9366397857666, 20.944896697998047, 20.97148895263672, 21.130239486694336, 20.978687286376953, 20.953088760375977, 20.964351654052734, 21.123071670532227, 20.9355525970459, 20.943872451782227, 21.107711791992188, 20.956384658813477]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.426463034003973,21.42207908630371,20.972507089997332,20.968870417277017,20.951040267944336,21.11615972518921,47.689741035171046,14.999261379241943,15.20703125,14.511165142059326,15.20703125,1.5875778198242188,1.5875778198242188,0.0,0.22040557861328125,0.0,0.22040557861328125,1.0,0.22040557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,4096,4,False,0,32,True,True
