method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
standard,standard,,4096,1,1,prefill_ttft,220,408.83415192365646,408.8238220214844,0.0
standard,standard,,4096,1,2,decode_first,16,21.580331958830357,21.577728271484375,0.0
standard,standard,,4096,1,3,decode_steady,15,20.970250014215708,20.967424392700195,0.0
standard,standard,,4096,1,4,decode_steady,15,20.949169993400574,20.944896697998047,0.0
standard,standard,,4096,1,5,decode_steady,4,20.935424137860537,20.931583404541016,0.0
standard,standard,,4096,1,6,decode_steady,220,20.961593370884657,20.95724868774414,0.0
standard,standard,,4096,1,7,decode_steady,16,22.3038368858397,22.296640396118164,0.0
standard,standard,,4096,1,8,decode_steady,15,21.035261917859316,21.031936645507812,0.0
standard,standard,,4096,1,9,decode_steady,15,20.92338167130947,20.92019271850586,0.0
standard,standard,,4096,1,10,decode_steady,4,20.92244988307357,20.918495178222656,0.0
standard,standard,,4096,1,11,decode_steady,220,20.92941291630268,20.925439834594727,0.0
standard,standard,,4096,1,12,decode_steady,16,20.932048093527555,20.928735733032227,0.0
standard,standard,,4096,1,13,decode_steady,15,20.927920006215572,20.924415588378906,0.0
standard,standard,,4096,1,14,decode_steady,15,20.940593909472227,20.937664031982422,0.0
standard,standard,,4096,1,15,decode_steady,4,21.1856160312891,21.182464599609375,0.0
standard,standard,,4096,1,16,decode_steady,220,20.95450973138213,20.950944900512695,0.0
standard,standard,,4096,1,17,decode_steady,16,21.305943839251995,21.30227279663086,0.0
standard,standard,,4096,1,18,decode_steady,15,20.95073275268078,20.9467830657959,0.0
standard,standard,,4096,1,19,decode_steady,15,20.923953037708998,20.919296264648438,0.0
standard,standard,,4096,1,20,decode_steady,4,20.949069876223803,20.944896697998047,0.0
standard,standard,,4096,1,21,decode_steady,220,20.94075409695506,20.936607360839844,0.0
standard,standard,,4096,1,22,decode_steady,16,20.945392549037933,20.941823959350586,0.0
standard,standard,,4096,1,23,decode_steady,15,20.943900104612112,20.940799713134766,0.0
standard,standard,,4096,1,24,decode_steady,15,20.94429126009345,20.940704345703125,0.0
standard,standard,,4096,1,25,decode_steady,4,20.93518292531371,20.931583404541016,0.0
standard,standard,,4096,1,26,decode_steady,220,20.981029607355595,20.976640701293945,0.0
standard,standard,,4096,1,27,decode_steady,16,20.947156008332968,20.94384002685547,0.0
standard,standard,,4096,1,28,decode_steady,15,21.00347215309739,20.999168395996094,0.0
standard,standard,,4096,1,29,decode_steady,15,20.93857992440462,20.935487747192383,0.0
standard,standard,,4096,1,30,decode_steady,4,20.925986114889383,20.922367095947266,0.0
standard,standard,,4096,1,31,decode_steady,220,20.937208086252213,20.932767868041992,0.0
standard,standard,,4096,1,32,decode_steady,16,20.955421961843967,20.952064514160156,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,1,prefill_ttft,220,2783.9191290549934,2783.8740234375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,2,decode_first,16,2289.297954645008,2289.271728515625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,3,decode_steady,15,1494.8814008384943,1402.9361572265625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,4,decode_steady,15,1403.8947257213295,1403.8763427734375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,5,decode_steady,4,1409.9090080708265,1403.3016357421875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,6,decode_steady,220,1788.9341488480568,1788.914306640625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,7,decode_steady,16,1805.1740257069468,1805.154296875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,8,decode_steady,15,1501.6929213888943,1501.675537109375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,9,decode_steady,15,1292.8858119994402,1292.87060546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,10,decode_steady,4,1300.934616010636,1300.9193115234375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,11,decode_steady,220,1402.098648250103,1402.0826416015625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,12,decode_steady,16,1602.6747366413474,1602.65625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,13,decode_steady,15,1390.5298169702291,1306.3822021484375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,14,decode_steady,15,1401.927497703582,1401.912353515625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,15,decode_steady,4,1501.4437669888139,1501.428466796875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,16,decode_steady,220,1402.7624619193375,1402.74755859375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,17,decode_steady,16,1595.7473483867943,1595.7288818359375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,18,decode_steady,15,1697.5920209661126,1691.5167236328125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,19,decode_steady,15,1606.9763251580298,1606.9609375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,20,decode_steady,4,1486.7045180872083,1486.6875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,21,decode_steady,220,1605.9306119568646,1600.98095703125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,22,decode_steady,16,1704.9307632260025,1704.910888671875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,23,decode_steady,15,1399.0908470004797,1399.0758056640625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,24,decode_steady,15,1498.5504071228206,1498.533935546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,25,decode_steady,4,1588.6484128423035,1506.39794921875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,26,decode_steady,220,1408.1160859204829,1401.6265869140625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,27,decode_steady,16,1799.8037240467966,1793.2196044921875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,28,decode_steady,15,1606.265882961452,1606.25048828125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,29,decode_steady,15,1796.9882590696216,1796.9693603515625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,30,decode_steady,4,1399.6252999641001,1399.609375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,31,decode_steady,220,2199.991846922785,2199.969482421875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,1,32,decode_steady,16,1699.084877036512,1699.0670166015625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,1,prefill_ttft,220,3292.4486291594803,3211.892822265625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,2,decode_first,16,1704.0358521044254,1704.021240234375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,3,decode_steady,15,1400.4544052295387,1400.4388427734375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,4,decode_steady,15,1403.9615578949451,1403.9468994140625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,5,decode_steady,4,1399.704921990633,1399.6890869140625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,6,decode_steady,220,1695.2640619128942,1695.246337890625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,7,decode_steady,16,1400.602274108678,1400.5870361328125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,8,decode_steady,15,1503.5591828636825,1503.544189453125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,9,decode_steady,15,1300.105394795537,1300.0908203125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,10,decode_steady,4,1293.6823670752347,1293.6673583984375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,11,decode_steady,220,1288.6651791632175,1207.9705810546875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,12,decode_steady,16,1499.8468137346208,1428.537353515625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,13,decode_steady,15,1217.4628684297204,1217.4510498046875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,14,decode_steady,15,1496.215655002743,1496.1988525390625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,15,decode_steady,4,1499.3957760743797,1499.3795166015625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,16,decode_steady,220,1500.1361700706184,1500.1199951171875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,17,decode_steady,16,1598.809885326773,1598.7926025390625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,18,decode_steady,15,1598.6629324033856,1598.646240234375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,19,decode_steady,15,2500.1630731858313,2500.138916015625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,20,decode_steady,4,1705.013426952064,1704.996826171875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,21,decode_steady,220,1486.720270011574,1486.705322265625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,22,decode_steady,16,1712.1889148838818,1712.1707763671875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,23,decode_steady,15,1687.6675910316408,1687.6502685546875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,24,decode_steady,15,1406.4478436484933,1406.4332275390625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,25,decode_steady,4,2002.623484004289,2002.60400390625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,26,decode_steady,220,1689.0267077833414,1689.0098876953125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,27,decode_steady,16,1410.3076350875199,1410.292724609375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,28,decode_steady,15,1598.8113437779248,1598.7955322265625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,29,decode_steady,15,1404.0192677639425,1404.0052490234375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,30,decode_steady,4,1587.9428726620972,1587.9268798828125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,31,decode_steady,220,2308.0783342011273,2308.056396484375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,1,32,decode_steady,16,1500.9201201610267,1500.9041748046875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,1,prefill_ttft,220,2413.3172291330993,2413.295654296875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,2,decode_first,16,2497.2567330114543,2497.23291015625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,3,decode_steady,15,2206.8297658115625,2206.80908203125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,4,decode_steady,15,1600.5067941732705,1594.07421875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,5,decode_steady,4,1787.5210288912058,1787.505615234375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,6,decode_steady,220,2003.5119797103107,2003.4921875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,7,decode_steady,16,1499.4711973704398,1499.455810546875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,8,decode_steady,15,1496.9628332182765,1496.9476318359375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,9,decode_steady,15,1597.0348310656846,1597.01904296875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,10,decode_steady,4,1706.3874509185553,1706.368896484375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,11,decode_steady,220,1803.0583900399506,1796.4033203125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,12,decode_steady,16,1690.2257087640464,1690.2103271484375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,13,decode_steady,15,1693.8690347597003,1693.8526611328125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,14,decode_steady,15,1498.6432469449937,1498.6280517578125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,15,decode_steady,4,1409.5449009910226,1409.530029296875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,16,decode_steady,220,1700.2155049704015,1700.1983642578125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,17,decode_steady,16,1999.4188998825848,1999.400146484375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,18,decode_steady,15,1496.3354701176286,1495.43310546875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,19,decode_steady,15,2106.0996730811894,2106.07763671875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,20,decode_steady,4,2098.065426107496,2098.044189453125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,21,decode_steady,220,1597.8371151722968,1597.8199462890625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,22,decode_steady,16,2297.411596868187,2290.989013671875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,23,decode_steady,15,1407.5281810946763,1407.5167236328125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,24,decode_steady,15,1599.3227460421622,1599.305908203125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,25,decode_steady,4,2196.7498073354363,2196.729736328125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,26,decode_steady,220,1699.7909392230213,1699.7744140625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,27,decode_steady,16,1898.8484009169042,1898.83056640625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,28,decode_steady,15,1901.4708139002323,1901.45263671875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,29,decode_steady,15,1587.0582670904696,1505.9140625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,30,decode_steady,4,1520.8349851891398,1514.3843994140625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,31,decode_steady,220,2692.7926880307496,2692.769775390625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,2,32,decode_steady,16,1687.1034889481962,1687.087158203125,0.0
standard,standard,,4096,2,1,prefill_ttft,220,414.8767711594701,414.8715515136719,0.0
standard,standard,,4096,2,2,decode_first,16,21.782488096505404,21.77948760986328,0.0
standard,standard,,4096,2,3,decode_steady,15,21.003729198127985,21.0001277923584,0.0
standard,standard,,4096,2,4,decode_steady,15,20.908369217067957,20.90470314025879,0.0
standard,standard,,4096,2,5,decode_steady,4,20.93788469210267,20.934656143188477,0.0
standard,standard,,4096,2,6,decode_steady,220,20.912466570734978,20.909055709838867,0.0
standard,standard,,4096,2,7,decode_steady,16,21.094350144267082,21.090303421020508,0.0
standard,standard,,4096,2,8,decode_steady,15,20.95220237970352,20.948991775512695,0.0
standard,standard,,4096,2,9,decode_steady,15,20.92744503170252,20.924415588378906,0.0
standard,standard,,4096,2,10,decode_steady,4,20.922466181218624,20.918272018432617,0.0
standard,standard,,4096,2,11,decode_steady,220,20.96262201666832,20.959327697753906,0.0
standard,standard,,4096,2,12,decode_steady,16,20.938656758517027,20.934656143188477,0.0
standard,standard,,4096,2,13,decode_steady,15,20.911614876240492,20.908031463623047,0.0
standard,standard,,4096,2,14,decode_steady,15,20.9490149281919,20.944992065429688,0.0
standard,standard,,4096,2,15,decode_steady,4,20.923408214002848,20.919296264648438,0.0
standard,standard,,4096,2,16,decode_steady,220,20.945228170603514,20.941823959350586,0.0
standard,standard,,4096,2,17,decode_steady,16,20.950207952409983,20.946847915649414,0.0
standard,standard,,4096,2,18,decode_steady,15,20.91953018680215,20.915199279785156,0.0
standard,standard,,4096,2,19,decode_steady,15,20.91903006657958,20.915199279785156,0.0
standard,standard,,4096,2,20,decode_steady,4,20.959546323865652,20.956159591674805,0.0
standard,standard,,4096,2,21,decode_steady,220,20.949306897819042,20.945920944213867,0.0
standard,standard,,4096,2,22,decode_steady,16,20.92240611091256,20.919200897216797,0.0
standard,standard,,4096,2,23,decode_steady,15,20.93093190342188,20.927488327026367,0.0
standard,standard,,4096,2,24,decode_steady,15,20.99161595106125,20.987903594970703,0.0
standard,standard,,4096,2,25,decode_steady,4,20.928587298840284,20.925439834594727,0.0
standard,standard,,4096,2,26,decode_steady,220,20.950579084455967,20.945920944213867,0.0
standard,standard,,4096,2,27,decode_steady,16,20.960478112101555,20.957183837890625,0.0
standard,standard,,4096,2,28,decode_steady,15,20.934359170496464,20.929536819458008,0.0
standard,standard,,4096,2,29,decode_steady,15,20.931612700223923,20.921344757080078,0.0
standard,standard,,4096,2,30,decode_steady,4,20.93011001124978,20.921344757080078,0.0
standard,standard,,4096,2,31,decode_steady,220,20.940841175615788,20.936704635620117,0.0
standard,standard,,4096,2,32,decode_steady,16,21.170052234083414,21.155839920043945,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,1,prefill_ttft,220,1858.62006386742,1788.991455078125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,2,decode_first,16,1509.4010708853602,1509.386474609375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,3,decode_steady,15,1501.248192973435,1501.2332763671875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,4,decode_steady,15,1500.3169318661094,1500.30126953125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,5,decode_steady,4,1704.0877742692828,1704.0712890625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,6,decode_steady,220,1496.117806993425,1496.10302734375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,7,decode_steady,16,1903.1211589463055,1903.10400390625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,8,decode_steady,15,1696.0282251238823,1696.01123046875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,9,decode_steady,15,2888.0202528089285,2803.360595703125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,10,decode_steady,4,1716.1199697293341,1716.104248046875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,11,decode_steady,220,1494.573520962149,1494.5587158203125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,12,decode_steady,16,1800.3816488198936,1800.3642578125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,13,decode_steady,15,1600.4137652926147,1600.398681640625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,14,decode_steady,15,2087.9381601698697,2002.463623046875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,15,decode_steady,4,1599.8584139160812,1516.2921142578125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,16,decode_steady,220,1715.1686549186707,1715.15087890625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,17,decode_steady,16,1497.3849868401885,1497.3692626953125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,18,decode_steady,15,1702.1641032770276,1702.1470947265625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,19,decode_steady,15,1694.8715560138226,1694.855224609375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,20,decode_steady,4,1691.3651069626212,1691.3480224609375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,21,decode_steady,220,2113.7959491461515,2113.77685546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,22,decode_steady,16,1999.5046379044652,1999.4859619140625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,23,decode_steady,15,1500.8458527736366,1500.8306884765625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,24,decode_steady,15,1794.81932381168,1794.8016357421875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,25,decode_steady,4,2200.9603269398212,2200.939453125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,26,decode_steady,220,1988.1631527096033,1906.423583984375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,27,decode_steady,16,2812.908459920436,2812.885986328125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,28,decode_steady,15,1607.2890530340374,1602.6552734375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,29,decode_steady,15,2394.490187987685,2394.469482421875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,30,decode_steady,4,1596.0915852338076,1596.076904296875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,31,decode_steady,220,1699.0258139558136,1699.0106201171875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,2,32,decode_steady,16,1604.4358108192682,1604.420654296875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,1,prefill_ttft,220,2401.5260096639395,2401.48193359375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,2,decode_first,16,1388.1727471016347,1388.1600341796875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,3,decode_steady,15,2099.440072197467,2099.41748046875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,4,decode_steady,15,1998.3208253979683,1998.2960205078125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,5,decode_steady,4,1305.533837992698,1305.51806640625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,6,decode_steady,220,1597.8296832181513,1597.8138427734375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,7,decode_steady,16,1300.3254486247897,1300.3123779296875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,8,decode_steady,15,1397.0548757351935,1397.0401611328125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,9,decode_steady,15,1803.2532162033021,1803.2353515625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,10,decode_steady,4,1585.5119600892067,1499.8385009765625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,11,decode_steady,220,1311.437739059329,1311.424560546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,12,decode_steady,16,1504.2977472767234,1504.282470703125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,13,decode_steady,15,1892.5986480899155,1892.57958984375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,14,decode_steady,15,3194.0829600207508,3194.056396484375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,15,decode_steady,4,1999.913184903562,1999.894775390625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,16,decode_steady,220,1312.2262596152723,1312.2130126953125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,17,decode_steady,16,1503.9573502726853,1502.4058837890625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,18,decode_steady,15,1981.9510923698545,1981.9315185546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,19,decode_steady,15,1513.4144718758762,1513.3992919921875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,20,decode_steady,4,1694.871325045824,1694.85107421875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,21,decode_steady,220,1504.813252016902,1504.7987060546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,22,decode_steady,16,1500.106948427856,1500.09033203125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,23,decode_steady,15,1797.6283207535744,1797.6104736328125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,24,decode_steady,15,2088.7606320902705,2088.73876953125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,25,decode_steady,4,1808.1609159708023,1808.143310546875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,26,decode_steady,220,1700.0009487383068,1699.9813232421875,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,27,decode_steady,16,1601.5967801213264,1601.5806884765625,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,28,decode_steady,15,1599.1613250225782,1599.14501953125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,29,decode_steady,15,1988.971047103405,1903.348876953125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,30,decode_steady,4,1511.5543780848384,1511.5352783203125,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,31,decode_steady,220,2005.9628868475556,2005.9443359375,0.0
stagekv_bidirectional_r2,bidirectional,2,4096,3,32,decode_steady,16,1982.1929968893528,1900.843994140625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,1,prefill_ttft,220,2016.8783636763692,2016.860107421875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,2,decode_first,16,2789.79303361848,2789.76708984375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,3,decode_steady,15,1598.0228427797556,1598.00732421875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,4,decode_steady,15,1498.5462198965251,1498.53076171875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,5,decode_steady,4,2200.015462934971,2199.994384765625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,6,decode_steady,220,1500.445163808763,1500.4293212890625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,7,decode_steady,16,1998.3120947144926,1998.287841796875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,8,decode_steady,15,1789.1169367358088,1706.8912353515625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,9,decode_steady,15,1408.3368820138276,1401.775146484375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,10,decode_steady,4,1604.493994731456,1604.47900390625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,11,decode_steady,220,1805.9723302721977,1799.594970703125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,12,decode_steady,16,1995.532219298184,1995.513916015625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,13,decode_steady,15,2001.8485342152417,2001.8309326171875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,14,decode_steady,15,1598.6455380916595,1598.630859375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,15,decode_steady,4,1696.163173764944,1696.1474609375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,16,decode_steady,220,1601.3540271669626,1601.33935546875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,17,decode_steady,16,1396.4098449796438,1396.3878173828125,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,18,decode_steady,15,1596.036504022777,1596.02099609375,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,19,decode_steady,15,2100.2156757749617,2100.197265625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,20,decode_steady,4,1900.4223281517625,1900.40576171875,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,21,decode_steady,220,1703.9332818239927,1703.90625,0.0
stagekv_cross_layer_r2,cross_layer,2,4096,3,22,decode_steady,16,1496.7722757719457,1496.75830078125,0.0
