method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
standard,standard,,8192,1,1,prefill_ttft,220,859.1201091185212,859.1083374023438,0.0
standard,standard,,8192,1,2,decode_first,16,26.636481285095215,26.633216857910156,0.0
standard,standard,,8192,1,3,decode_steady,15,25.669252034276724,25.663488388061523,0.0
standard,standard,,8192,1,4,decode_steady,15,25.633614975959063,25.628671646118164,0.0
standard,standard,,8192,1,5,decode_steady,4,25.647261179983616,25.643007278442383,0.0
standard,standard,,8192,1,6,decode_steady,220,25.627593975514174,25.622528076171875,0.0
standard,standard,,8192,1,7,decode_steady,16,25.64755128696561,25.64371109008789,0.0
standard,standard,,8192,1,8,decode_steady,15,25.637423153966665,25.63260841369629,0.0
standard,standard,,8192,1,9,decode_steady,15,25.620501022785902,25.616384506225586,0.0
standard,standard,,8192,1,10,decode_steady,4,25.60785599052906,25.604095458984375,0.0
standard,standard,,8192,1,11,decode_steady,220,25.604430120438337,25.600000381469727,0.0
standard,standard,,8192,1,12,decode_steady,16,25.583109818398952,25.577472686767578,0.0
standard,standard,,8192,1,13,decode_steady,15,25.589602068066597,25.584768295288086,0.0
standard,standard,,8192,1,14,decode_steady,15,25.60276724398136,25.597951889038086,0.0
standard,standard,,8192,1,15,decode_steady,4,25.621702894568443,25.617408752441406,0.0
standard,standard,,8192,1,16,decode_steady,220,25.609239004552364,25.605119705200195,0.0
standard,standard,,8192,1,17,decode_steady,16,25.624016765505075,25.61961555480957,0.0
standard,standard,,8192,1,18,decode_steady,15,25.615581311285496,25.611263275146484,0.0
standard,standard,,8192,1,19,decode_steady,15,25.61134286224842,25.608064651489258,0.0
standard,standard,,8192,1,20,decode_steady,4,25.62283491715789,25.618431091308594,0.0
standard,standard,,8192,1,21,decode_steady,220,25.62679210677743,25.622528076171875,0.0
standard,standard,,8192,1,22,decode_steady,16,25.58373101055622,25.579519271850586,0.0
standard,standard,,8192,1,23,decode_steady,15,25.596064049750566,25.59097671508789,0.0
standard,standard,,8192,1,24,decode_steady,15,25.590083096176386,25.585664749145508,0.0
standard,standard,,8192,1,25,decode_steady,4,25.57420264929533,25.57030487060547,0.0
standard,standard,,8192,1,26,decode_steady,220,25.599010288715363,25.593856811523438,0.0
standard,standard,,8192,1,27,decode_steady,16,25.58450261130929,25.580543518066406,0.0
