status,generated_token_ids,step_top1_ids,prefill_wall_ms,prefill_cuda_ms,time_to_first_token_wall_ms,time_to_first_token_cuda_ms,prefill_tokens_per_second,decode_step_wall_ms,decode_step_cuda_ms,decode_step_h2d_event_ms,decode_first_step_wall_ms,decode_first_step_cuda_ms,decode_steady_wall_mean_ms,decode_steady_cuda_mean_ms,decode_steady_cuda_p50_ms,decode_steady_cuda_p95_ms,decode_steady_tokens_per_second,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_gib,cpu_rss_delta_gib,cache_gpu_gib,cache_cpu_gib,cache_total_gib,cache_ratio,theoretical_cache_gib,staging_gpu_gib,h2d_group_transfers,h2d_gib,d2h_gib,async_prefetch_groups,async_h2d_event_total_ms,h2d_event_timing_available,async_d2h_append_calls,non_blocking_d2h_tensor_copies,blocking_d2h_tensor_copies,dedicated_transfer_stream_enabled,dedicated_d2h_stream_enabled,expected_layer_prefetches,layer_prefetch_calls,expected_lookahead_prefetches,lookahead_prefetch_calls,expected_layer0_fallbacks,layer0_fallback_prefetch_calls,layer_prefetch_hits,layer_prefetch_misses,expected_layer_slot_reuse_waits,layer_slot_reuse_waits,cross_layer_schedule_correct,generated_tokens,decode_forward_steps,method,family,resident_kv_heads_r,kv_group_size_g,sequence_length,trial,is_warmup,round_order_position,decode_tokens,same_generated_sequence_as_standard,all_step_top1_equal_as_standard
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",859.1201091185212,859.1083374023438,859.1201091185212,859.1083374023438,9535.467930354242,"[26.636481285095215, 25.669252034276724, 25.633614975959063, 25.647261179983616, 25.627593975514174, 25.64755128696561, 25.637423153966665, 25.620501022785902, 25.60785599052906, 25.604430120438337, 25.583109818398952, 25.589602068066597, 25.60276724398136, 25.621702894568443, 25.609239004552364, 25.624016765505075, 25.615581311285496, 25.61134286224842, 25.62283491715789, 25.62679210677743, 25.58373101055622, 25.596064049750566, 25.590083096176386, 25.57420264929533, 25.599010288715363, 25.58450261130929, 25.570685975253582, 25.58944234624505, 25.589101016521454, 25.7875039242208, 25.638034101575613]","[26.633216857910156, 25.663488388061523, 25.628671646118164, 25.643007278442383, 25.622528076171875, 25.64371109008789, 25.63260841369629, 25.616384506225586, 25.604095458984375, 25.600000381469727, 25.577472686767578, 25.584768295288086, 25.597951889038086, 25.617408752441406, 25.605119705200195, 25.61961555480957, 25.611263275146484, 25.608064651489258, 25.618431091308594, 25.622528076171875, 25.579519271850586, 25.59097671508789, 25.585664749145508, 25.57030487060547, 25.593856811523438, 25.580543518066406, 25.566207885742188, 25.584896087646484, 25.584640502929688, 25.782560348510742, 25.633792877197266]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",26.636481285095215,26.633216857910156,25.61682779341936,25.612336095174154,25.606592178344727,25.654588603973387,39.04368567880924,15.764001369476318,16.076171875,14.784679889678955,16.076171875,1.7661399841308594,1.7661399841308594,0.0,0.43915557861328125,0.0,0.43915557861328125,1.0,0.43915557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,8192,1,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3132.0831263437867,3132.0576171875,3132.0831263437867,3132.0576171875,2615.532982230444,"[3879.0458631701767, 4292.789828032255, 3503.0789389275014, 4599.659948144108, 3899.684067815542, 3899.0873573347926, 3902.599663939327, 3699.247623793781, 3598.0412727221847, 4397.781318984926, 4207.876154221594, 4490.917154122144, 4002.034009899944, 3206.375111825764, 4097.2846248187125, 3198.099371045828, 3797.1055740490556, 3405.9986248612404, 2193.273442797363, 2606.297775171697, 3192.063002847135, 3403.895657043904, 4093.111211899668, 3804.531719069928, 4206.268939189613, 4001.032351050526, 3888.7091437354684, 3302.811346948147, 3901.692021638155, 3904.82116676867, 3198.863706085831]","[3879.001708984375, 4292.75634765625, 3503.035400390625, 4599.62158203125, 3899.650146484375, 3899.050048828125, 3902.5673828125, 3699.21337890625, 3598.01123046875, 4397.748046875, 4207.84326171875, 4490.88525390625, 4002.007080078125, 3206.349853515625, 4097.25537109375, 3198.0771484375, 3797.0791015625, 3405.974609375, 2193.25634765625, 2606.2783203125, 3192.037353515625, 3403.871826171875, 4004.854736328125, 3804.5068359375, 4206.23779296875, 4000.998046875, 3888.67578125, 3302.7890625, 3901.665283203125, 3904.794189453125, 3198.841796875]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3879.0458631701767,3879.001708984375,3729.834404292827,3726.8644205729165,3893.8629150390625,4448.9735107421875,0.2683220764565065,15.54604959487915,16.021484375,14.529702186584473,16.041015625,1.7661399841308594,1.7661399841308594,0.0,0.21957778930664062,0.21957778930664062,0.43915557861328125,1.0,0.43915557861328125,0.015684127807617188,868,6.793666839599609,0.21957778930664062,868,0.0,False,896,1792,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,8192,1,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3685.498632956296,3618.4521484375,3685.498632956296,3618.4521484375,2263.9514532581074,"[3404.122430831194, 4504.352954681963, 3806.643554009497, 4593.038358725607, 4204.475267790258, 4194.881932344288, 4406.511542387307, 4595.95899283886, 4790.116033051163, 4008.8492846116424, 4287.373092956841, 3414.5226469263434, 4100.068765226752, 2490.4877338558435, 2407.0280701853335, 2090.9813661128283, 2206.0680892318487, 1896.7468896880746, 2097.632508724928, 2402.545955963433, 1997.2256221808493, 2000.6586397066712, 2199.0267923101783, 1905.0597487948835, 2592.6315379329026, 2801.9887250848114, 2494.8818190023303, 3107.885622419417, 2200.1846632920206, 2797.068830113858, 2504.4617718085647]","[3404.096435546875, 4504.31201171875, 3806.607421875, 4592.99658203125, 4204.44580078125, 4194.8486328125, 4406.4755859375, 4595.92529296875, 4790.08056640625, 4008.8125, 4199.38818359375, 3414.467529296875, 4100.03857421875, 2490.466064453125, 2401.249267578125, 2090.968017578125, 2206.05126953125, 1896.541015625, 2097.615966796875, 2402.528076171875, 1997.2095947265625, 2000.6419677734375, 2199.006103515625, 1905.04443359375, 2592.6123046875, 2801.968017578125, 2407.558349609375, 3107.862548828125, 2200.16650390625, 2797.048828125, 2504.44189453125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3404.122430831194,3404.096435546875,3103.3118937319764,3097.2459635416667,2694.83056640625,4594.607373046874,0.32286748026188755,15.54604959487915,16.021484375,14.529702186584473,16.041015625,1.7661399841308594,1.7661399841308594,0.0,0.21957778930664062,0.21957778930664062,0.43915557861328125,1.0,0.43915557861328125,0.015684127807617188,868,6.793666839599609,0.21957778930664062,868,0.0,False,896,1792,0,True,True,868,868,837,837,31,31,837,31,866,866,True,32,31,stagekv_cross_layer_r2,cross_layer,2,2,8192,1,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3196.277947165072,3196.2490234375,3196.277947165072,3196.2490234375,2563.0043028342243,"[2534.6652143634856, 2764.175806194544, 2836.5702419541776, 2699.53993614763, 2663.53703988716, 2399.7107911854982, 2937.1311189606786, 2301.8896696157753, 2397.1165008842945, 2499.7273250482976, 3002.845768351108, 2396.430328954011, 2800.5171339027584, 2900.141587946564, 2399.7760340571404, 3403.6288550123572, 3059.593026060611, 3236.5568121895194, 2799.8792929574847, 2802.7353063225746, 3197.465706150979, 2903.902994003147, 2803.8107487373054, 2695.4121571034193, 3005.8539863675833, 2889.3860508687794, 3002.9955781064928, 2597.2398039884865, 2599.7338257730007, 2400.0802040100098, 2802.4907326325774]","[2534.64453125, 2702.5654296875, 2836.55029296875, 2699.519775390625, 2609.608642578125, 2338.958251953125, 2937.1083984375, 2301.8701171875, 2397.096923828125, 2499.707763671875, 3002.821533203125, 2396.411865234375, 2800.49560546875, 2900.117431640625, 2399.753173828125, 3403.6015625, 3006.400390625, 3236.5341796875, 2799.858642578125, 2802.714599609375, 3197.44091796875, 2903.88037109375, 2798.011474609375, 2695.39208984375, 3005.831298828125, 2889.364501953125, 3002.973876953125, 2597.220458984375, 2599.71484375, 2400.0615234375, 2802.469970703125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2534.6652143634856,2534.64453125,2773.329145445799,2765.4685302734374,2800.1771240234375,3218.942211914062,0.3616023791459035,15.54604959487915,16.021484375,14.529702186584473,16.041015625,1.7661399841308594,1.7661399841308594,0.0,0.21957778930664062,0.21957778930664062,0.43915557861328125,1.0,0.43915557861328125,0.015684127807617188,868,6.793666839599609,0.21957778930664062,868,0.0,False,896,1792,0,True,True,868,868,837,837,31,31,837,31,866,866,True,32,31,stagekv_cross_layer_r2,cross_layer,2,2,8192,2,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",869.169931858778,869.16064453125,869.169931858778,869.16064453125,9425.185150229687,"[26.55305527150631, 25.645786896348, 25.72442637756467, 25.634205900132656, 25.615409947931767, 25.624247267842293, 25.617634877562523, 25.613085832446814, 25.663201231509447, 25.609478820115328, 25.596594903618097, 25.571678299456835, 25.611803866922855, 25.600431952625513, 25.606543757021427, 25.625029113143682, 25.60780569911003, 25.61670308932662, 25.622334331274033, 25.6389151327312, 25.593520142138004, 25.600933004170656, 25.587568059563637, 25.57444293051958, 25.57581616565585, 25.594059843569994, 25.75980219990015, 25.557992979884148, 25.574343279004097, 25.614698883146048, 25.88218217715621]","[26.549312591552734, 25.640960693359375, 25.71980857849121, 25.629695892333984, 25.611263275146484, 25.620479583740234, 25.612287521362305, 25.609216690063477, 25.659135818481445, 25.60576057434082, 25.592832565307617, 25.567232131958008, 25.607168197631836, 25.596927642822266, 25.60291290283203, 25.621248245239258, 25.603967666625977, 25.613311767578125, 25.618431091308594, 25.634815216064453, 25.588991165161133, 25.596927642822266, 25.58355140686035, 25.57027244567871, 25.571327209472656, 25.588672637939453, 25.754623413085938, 25.55401611328125, 25.570112228393555, 25.611040115356445, 25.87820816040039]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",26.55305527150631,26.549312591552734,25.62535589871307,25.621173286437987,25.608192443847656,25.73895673751831,39.030218828008486,15.764001369476318,16.076171875,14.784679889678955,16.076171875,1.7661399841308594,1.7661399841308594,0.0,0.43915557861328125,0.0,0.43915557861328125,1.0,0.43915557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,8192,2,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3427.319494076073,3427.0791015625,3427.319494076073,3427.0791015625,2390.3737723080394,"[4376.770699862391, 4392.332066316158, 3734.3294359743595, 3466.0216150805354, 3303.001862950623, 2890.2792022563517, 3632.4161738157272, 3006.8485448136926, 3162.2762917540967, 2999.203413259238, 2930.7294911704957, 2270.239481702447, 2201.78974699229, 2402.8159379959106, 2203.556820284575, 2761.9519270956516, 2132.6660132035613, 2307.7883920632303, 1894.9705022387207, 3000.2080309204757, 2203.1707339920104, 2499.715758021921, 3000.2630739472806, 2663.998445030302, 3105.5010589770973, 2565.4785381630063, 3038.7533959001303, 3295.050260145217, 3100.0289041548967, 3197.9282940737903, 3006.1729410663247]","[4376.728515625, 4392.29345703125, 3734.291015625, 3465.9892578125, 3302.96923828125, 2890.25244140625, 3632.386962890625, 3006.823486328125, 3162.249267578125, 2999.175048828125, 2930.705078125, 2270.215087890625, 2201.77001953125, 2402.79541015625, 2203.539306640625, 2761.9267578125, 2132.648681640625, 2307.76708984375, 1894.9549560546875, 3000.172607421875, 2203.150390625, 2499.689453125, 3000.23193359375, 2663.970703125, 3105.472412109375, 2565.458984375, 3038.719970703125, 3295.018798828125, 3100.0, 3197.897705078125, 3006.149658203125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4376.770699862391,4376.728515625,2878.982878445337,2878.956172688802,2999.673828125,3688.434191894531,0.34734811508646546,15.54604959487915,16.021484375,14.529702186584473,16.041015625,1.7661399841308594,1.7661399841308594,0.0,0.21957778930664062,0.21957778930664062,0.43915557861328125,1.0,0.43915557861328125,0.015684127807617188,868,6.793666839599609,0.21957778930664062,868,0.0,False,896,1792,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,8192,2,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3951.8088581971824,3948.232666015625,3951.8088581971824,3948.232666015625,2074.852394214901,"[3808.801244944334, 2994.08938921988, 2899.094474967569, 2499.496745876968, 2095.9304408170283, 2999.980390071869, 2502.931042574346, 2500.490963924676, 2202.708371914923, 2506.9269998930395, 2989.9866180494428, 3800.5471429787576, 2699.9315628781915, 2699.8411640524864, 2867.6147079095244, 2334.282935131341, 2306.662523187697, 2390.3870242647827, 3203.7246329709888, 2296.0776980035007, 2202.214621938765, 2497.305291239172, 2498.8493961282074, 3001.9356859847903, 2798.9841643720865, 3009.5977000892162, 2793.097256217152, 2697.027000132948, 2900.0110761262476, 3103.9380258880556, 3198.6627229489386]","[3808.74755859375, 2994.06640625, 2899.071044921875, 2499.4765625, 2066.05517578125, 2973.172607421875, 2502.914794921875, 2500.470703125, 2202.6904296875, 2500.010009765625, 2989.96630859375, 3800.51953125, 2699.907958984375, 2699.8193359375, 2867.591796875, 2334.26513671875, 2299.96142578125, 2390.366943359375, 3203.698486328125, 2296.057861328125, 2202.19580078125, 2497.286376953125, 2498.829833984375, 3001.9111328125, 2798.96435546875, 3002.769287109375, 2793.07568359375, 2697.006103515625, 2899.988525390625, 3103.9150390625, 3198.63916015625]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3808.801244944334,3808.74755859375,2716.4109256584197,2713.822127278646,2699.8636474609375,3201.4217895507813,0.3684839879328331,15.54604959487915,16.021484375,14.529702186584473,16.041015625,1.7661399841308594,1.7661399841308594,0.0,0.21957778930664062,0.21957778930664062,0.43915557861328125,1.0,0.43915557861328125,0.015684127807617188,868,6.793666839599609,0.21957778930664062,868,0.0,False,896,1792,0,True,True,0,0,0,0,0,0,0,0,0,0,True,32,31,stagekv_bidirectional_r2,bidirectional,2,2,8192,3,False,0,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",3291.459532920271,3291.432861328125,3291.459532920271,3291.432861328125,2488.8856449875902,"[4075.5362058989704, 4606.946762185544, 3596.840219106525, 2899.603658821434, 2997.4188301712275, 2799.9605569057167, 2995.712438132614, 2903.599285054952, 2903.2291593030095, 2700.6770549342036, 2096.130063291639, 3102.7040341868997, 2791.66201595217, 2905.0425989553332, 3198.209070134908, 2801.5305916778743, 2504.4128498993814, 2795.2426210977137, 2404.2491409927607, 2605.6032213382423, 2093.0768977850676, 2797.1836430951953, 2904.9222148023546, 2895.0213957577944, 2402.149211615324, 2700.5621581338346, 3216.8495962396264, 3282.626050990075, 2391.3949383422732, 2103.1889840960503, 2607.1495609357953]","[4075.498291015625, 4606.9111328125, 3596.814453125, 2899.58203125, 2997.396240234375, 2799.9384765625, 2995.686279296875, 2903.57958984375, 2903.205810546875, 2700.65576171875, 2096.11328125, 3102.680908203125, 2704.28369140625, 2905.0224609375, 3198.1865234375, 2801.50927734375, 2504.3916015625, 2795.221923828125, 2404.22900390625, 2605.583251953125, 2093.059814453125, 2797.163330078125, 2904.901611328125, 2894.99951171875, 2402.130615234375, 2700.541259765625, 3216.826416015625, 3282.602783203125, 2307.803955078125, 2103.163818359375, 2607.12548828125]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4075.5362058989704,4075.498291015625,2833.4299607978514,2827.710343424479,2800.723876953125,3455.4192016601555,0.35364301097012535,15.54604959487915,16.021484375,14.529702186584473,16.041015625,1.7661399841308594,1.7661399841308594,0.0,0.21957778930664062,0.21957778930664062,0.43915557861328125,1.0,0.43915557861328125,0.015684127807617188,868,6.793666839599609,0.21957778930664062,868,0.0,False,896,1792,0,True,True,868,868,837,837,31,31,837,31,866,866,True,32,31,stagekv_cross_layer_r2,cross_layer,2,2,8192,3,False,1,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",869.1265978850424,869.1036376953125,869.1265978850424,869.1036376953125,9425.803373373896,"[27.391191106289625, 25.759330950677395, 25.68335784599185, 25.726548861712217, 25.674862787127495, 25.71774274110794, 25.689450092613697, 25.89856320992112, 25.642100255936384, 25.657118763774633, 25.640717707574368, 26.067090220749378, 25.641418993473053, 25.630378164350986, 25.656959041953087, 25.634507182985544, 25.640408042818308, 25.655366014689207, 25.68328846246004, 25.673861149698496, 25.623396039009094, 25.652349926531315, 25.614689104259014, 25.610961951315403, 25.623095221817493, 25.616102386265993, 25.605222210288048, 25.639085099101067, 25.603047106415033, 25.651248171925545, 25.656196754425764]","[27.387903213500977, 25.755456924438477, 25.678848266601562, 25.72198486328125, 25.66975975036621, 25.7126407623291, 25.68499183654785, 25.893888473510742, 25.637887954711914, 25.652223587036133, 25.635839462280273, 26.062847137451172, 25.636863708496094, 25.625600814819336, 25.652223587036133, 25.629695892333984, 25.635839462280273, 25.651199340820312, 25.67964744567871, 25.669567108154297, 25.619359970092773, 25.648128509521484, 25.610240936279297, 25.605119705200195, 25.619455337524414, 25.611328125, 25.600831985473633, 25.634815216064453, 25.597951889038086, 25.647104263305664, 25.652000427246094]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",27.391191106289625,27.387903213500977,25.6756154820323,25.671111424763996,25.647616386413574,25.831594276428223,38.95429315286038,15.764001369476318,16.076171875,14.784679889678955,16.076171875,1.7661399841308594,1.7661399841308594,0.0,0.43915557861328125,0.0,0.43915557861328125,1.0,0.43915557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,8192,3,False,2,32,True,True
ok,"[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]","[220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16, 15, 15, 4, 220, 16]",859.2224847525358,859.20458984375,859.2224847525358,859.20458984375,9534.399719035195,"[27.27480186149478, 25.918039958924055, 25.67403018474579, 25.683417916297913, 25.669912807643414, 25.66560497507453, 25.66025499254465, 25.632171891629696, 25.640047155320644, 25.631732307374477, 25.658380705863237, 25.914333295077085, 25.590083096176386, 25.61759389936924, 25.619028136134148, 25.737110059708357, 25.630880147218704, 25.637532118707895, 25.64309211447835, 25.623986963182688, 25.606804993003607, 26.529038790613413, 25.805567856878042, 25.60488088056445, 25.58951172977686, 25.654003024101257, 25.596906431019306, 25.590242817997932, 25.600832886993885, 25.815597269684076, 25.638794992119074]","[27.271135330200195, 25.91334342956543, 25.669631958007812, 25.678848266601562, 25.665536880493164, 25.661439895629883, 25.655296325683594, 25.627647399902344, 25.635072708129883, 25.626623153686523, 25.653247833251953, 25.9102725982666, 25.585664749145508, 25.613311767578125, 25.614336013793945, 25.73311996459961, 25.626623153686523, 25.632831573486328, 25.637887954711914, 25.619455337524414, 25.602048873901367, 26.51628875732422, 25.801504135131836, 25.601024627685547, 25.584640502929688, 25.649152755737305, 25.592832565307617, 25.585664749145508, 25.597759246826172, 25.810943603515625, 25.63382339477539]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",27.27480186149478,27.271135330200195,25.695980479940772,25.691195805867512,25.634448051452637,25.911961555480957,38.923840196321805,15.764001369476318,16.076171875,14.784679889678955,16.076171875,1.7661399841308594,1.7661399841308594,0.0,0.43915557861328125,0.0,0.43915557861328125,1.0,0.43915557861328125,0.0,0,0.0,0.0,0,0.0,False,0,0,0,False,False,0,0,0,0,0,0,0,0,0,0,True,32,31,standard,standard,,,8192,4,False,0,32,True,True
