method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
standard,standard,,8192,1,1,prefill_ttft,220,430.0437751226127,430.039794921875,0.0
standard,standard,,8192,1,2,decode_first,34187,25.048111099749804,25.045055389404297,0.0
standard,standard,,8192,1,3,decode_steady,198,24.50183592736721,24.499040603637695,0.0
standard,standard,,8192,1,4,decode_steady,220,24.568650871515274,24.565568923950195,0.0
standard,standard,,8192,1,5,decode_steady,16,24.462583009153605,24.45840072631836,0.0
standard,standard,,8192,1,6,decode_steady,15,24.51215498149395,24.509248733520508,0.0
standard,standard,,8192,1,7,decode_steady,15,26.83590492233634,26.828800201416016,0.0
standard,standard,,8192,1,8,decode_steady,15,25.345539208501577,25.341951370239258,0.0
standard,standard,,8192,1,9,decode_steady,15,24.603386875241995,24.599552154541016,0.0
standard,standard,,8192,1,10,decode_steady,15,24.668509140610695,24.665023803710938,0.0
standard,standard,,8192,1,11,decode_steady,15,24.562018923461437,24.558591842651367,0.0
standard,standard,,8192,1,12,decode_steady,15,24.571698158979416,24.567808151245117,0.0
standard,standard,,8192,1,13,decode_steady,15,24.58611410111189,24.582143783569336,0.0
standard,standard,,8192,1,14,decode_steady,15,24.60213378071785,24.598495483398438,0.0
standard,standard,,8192,1,15,decode_steady,15,24.604068137705326,24.600576400756836,0.0
standard,standard,,8192,1,16,decode_steady,15,24.569864384829998,24.566688537597656,0.0
standard,standard,,8192,1,17,decode_steady,15,24.55740002915263,24.55353546142578,0.0
standard,standard,,8192,1,18,decode_steady,15,24.618975818157196,24.614912033081055,0.0
standard,standard,,8192,1,19,decode_steady,15,24.405675940215588,24.402944564819336,0.0
standard,standard,,8192,1,20,decode_steady,15,24.66214681044221,24.658111572265625,0.0
standard,standard,,8192,1,21,decode_steady,15,24.496936704963446,24.49398422241211,0.0
standard,standard,,8192,1,22,decode_steady,15,24.61938699707389,24.615936279296875,0.0
standard,standard,,8192,1,23,decode_steady,15,24.471750017255545,24.46847915649414,0.0
standard,standard,,8192,1,24,decode_steady,15,24.533916264772415,24.530879974365234,0.0
standard,standard,,8192,1,25,decode_steady,15,24.51501088216901,24.51148796081543,0.0
standard,standard,,8192,1,26,decode_steady,15,24.661516305059195,24.657920837402344,0.0
standard,standard,,8192,1,27,decode_steady,15,24.51409911736846,24.51046371459961,0.0
standard,standard,,8192,1,28,decode_steady,15,24.628343991935253,24.625120162963867,0.0
standard,standard,,8192,1,29,decode_steady,15,24.5623798109591,24.548479080200195,0.0
standard,standard,,8192,1,30,decode_steady,15,24.70077993348241,24.697856903076172,0.0
standard,standard,,8192,1,31,decode_steady,15,24.486107286065817,24.482816696166992,0.0
standard,standard,,8192,1,32,decode_steady,15,24.605360347777605,24.59529685974121,0.0
stagekv_bidirectional_r1,bidirectional,1,8192,1,1,prefill_ttft,220,434.8434400744736,434.83544921875,0.0
stagekv_bidirectional_r1,bidirectional,1,8192,1,2,decode_first,34187,35.635984037071466,35.63315200805664,0.0
