method,family,resident_kv_heads_r,sequence_length,trial,generated_token_position,phase,token_id,wall_ms,cuda_ms,h2d_event_ms
stagekv_bidirectional_r2,bidirectional,2,8192,1,1,prefill_ttft,220,3101.2830319814384,3060.654052734375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,2,decode_first,16,2403.8357427343726,2403.792724609375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,3,decode_steady,15,3524.4306693784893,3524.346923828125,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,4,decode_steady,15,3567.969085648656,3567.903076171875,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,5,decode_steady,4,3030.8680911548436,3030.81298828125,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,6,decode_steady,220,3068.5299201868474,3068.474365234375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,7,decode_steady,16,2930.5091239511967,2930.452392578125,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,8,decode_steady,15,2600.7453850470483,2600.68359375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,9,decode_steady,15,2400.058527942747,2400.007080078125,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,10,decode_steady,4,2601.4187820255756,2601.37158203125,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,11,decode_steady,220,3504.51844278723,3504.449462890625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,12,decode_steady,16,3693.9633497968316,3693.890625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,13,decode_steady,15,3001.7871209420264,3001.73388671875,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,14,decode_steady,15,3065.4603792354465,3065.406494140625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,15,decode_steady,4,1931.830951012671,1931.7923583984375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,16,decode_steady,220,2100.6599832326174,2100.616943359375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,17,decode_steady,16,2404.1008832864463,2404.05712890625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,18,decode_steady,15,1898.2821046374738,1898.2481689453125,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,19,decode_steady,15,2096.6780888848007,2096.63671875,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,20,decode_steady,4,1903.7915500812232,1903.75537109375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,21,decode_steady,220,1705.8558147400618,1705.81591796875,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,22,decode_steady,16,3293.9680158160627,3293.906982421875,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,23,decode_steady,15,1967.780539765954,1898.2666015625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,24,decode_steady,15,1830.0338434055448,1830.0006103515625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,25,decode_steady,4,2308.50431881845,2300.7119140625,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,26,decode_steady,220,2091.960479039699,2091.925537109375,0.0
stagekv_bidirectional_r2,bidirectional,2,8192,1,27,decode_steady,16,2302.415184210986,2302.373779296875,0.0
