layer,key_shape,value_shape,dtype,device,kv_heads,tokens,head_dim,key_mib,value_mib,layer_kv_mib,one_kv_head_mib
0,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
1,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
2,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
3,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
4,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
5,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
6,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
7,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
8,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
9,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
10,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
11,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
12,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
13,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
14,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
15,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
16,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
17,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
18,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
19,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
20,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
21,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
22,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
23,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
24,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
25,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
26,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
27,"[1, 4, 4096, 128]","[1, 4, 4096, 128]",torch.bfloat16,cuda:0,4,4096,128,4.0,4.0,8.0,2.0
