method,sequence_length,trial,decode_step,generated_token_position,generated_token_id,latency_ms,phase
standard,4096,1,1,2,82,17.334927339106798,first_step
standard,4096,1,2,3,198,15.750169288367033,steady
standard,4096,1,3,4,220,15.693684108555317,steady
standard,4096,1,4,5,16,15.723688993602991,steady
standard,4096,1,5,6,15,15.6999328173697,steady
standard,4096,1,6,7,15,15.64572099596262,steady
standard,4096,1,7,8,15,15.632941853255033,steady
standard,4096,1,8,9,15,15.65983286127448,steady
standard,4096,1,9,10,15,15.632330905646086,steady
standard,4096,1,10,11,15,15.722277108579874,steady
standard,4096,1,11,12,15,15.641755890101194,steady
standard,4096,1,12,13,15,15.566762071102858,steady
standard,4096,1,13,14,15,15.597809106111526,steady
standard,4096,1,14,15,15,15.742598101496696,steady
standard,4096,1,15,16,15,15.719003044068813,steady
standard,4096,1,16,17,15,15.730299986898899,steady
standard,4096,1,17,18,15,17.43466779589653,steady
standard,4096,1,18,19,15,15.95012191683054,steady
standard,4096,1,19,20,15,15.687325038015842,steady
standard,4096,1,20,21,15,15.698711853474379,steady
standard,4096,1,21,22,15,15.716188121587038,steady
standard,4096,1,22,23,15,15.648826956748962,steady
standard,4096,1,23,24,15,15.625080093741417,steady
standard,4096,1,24,25,15,15.628724824637175,steady
standard,4096,1,25,26,15,15.710488893091679,steady
standard,4096,1,26,27,15,15.724179800599813,steady
standard,4096,1,27,28,15,15.740003902465105,steady
standard,4096,1,28,29,15,15.654283575713634,steady
standard,4096,1,29,30,15,15.667623840272427,steady
standard,4096,1,30,31,15,15.707375016063452,steady
standard,4096,1,31,32,15,15.666051767766476,steady
standard,4096,2,1,2,82,16.494284849613905,first_step
standard,4096,2,2,3,198,15.756038017570972,steady
standard,4096,2,3,4,220,15.74269775301218,steady
standard,4096,2,4,5,16,15.66642289981246,steady
standard,4096,2,5,6,15,15.72042377665639,steady
standard,4096,2,6,7,15,15.787375625222921,steady
standard,4096,2,7,8,15,15.684258658438921,steady
standard,4096,2,8,9,15,15.697339083999395,steady
standard,4096,2,9,10,15,15.67504508420825,steady
standard,4096,2,10,11,15,15.71824075654149,steady
standard,4096,2,11,12,15,15.678741969168186,steady
standard,4096,2,12,13,15,15.672000125050545,steady
standard,4096,2,13,14,15,15.639011282473803,steady
standard,4096,2,14,15,15,15.65084932371974,steady
standard,4096,2,15,16,15,15.67356288433075,steady
standard,4096,2,16,17,15,15.77713992446661,steady
standard,4096,2,17,18,15,15.75700007379055,steady
standard,4096,2,18,19,15,15.671601053327322,steady
standard,4096,2,19,20,15,15.640242956578732,steady
standard,4096,2,20,21,15,15.661124140024185,steady
standard,4096,2,21,22,15,15.7501888461411,steady
standard,4096,2,22,23,15,15.72396932169795,steady
standard,4096,2,23,24,15,15.663737896829844,steady
standard,4096,2,24,25,15,18.352525774389505,steady
standard,4096,2,25,26,15,16.012745909392834,steady
standard,4096,2,26,27,15,15.813174657523632,steady
standard,4096,2,27,28,15,15.774575993418694,steady
standard,4096,2,28,29,15,15.764100942760706,steady
standard,4096,2,29,30,15,15.673333313316107,steady
