resident_head_blocks,worker_exit_code,worker_completed,worker_dir,stable,matches_standard,correct,gpu_kv_gib,h2d_gib,d2h_gib,total_transfer_gib,decode_ms_per_token,transfer_target_pass,gpu_budget_pass,feasible
0,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r000,True,True,True,0.004409313201904297,15.278251647949219,15.767685413360596,31.045937061309814,258.48483480012385,False,True,False
1,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r001,True,True,True,0.008818626403808594,15.146193981170654,15.631218433380127,30.77741241455078,325.9032071037318,False,True,False
2,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r002,True,True,True,0.01322793960571289,15.00974178314209,15.490356922149658,30.500098705291748,269.9783805717704,False,True,False
3,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r003,True,True,True,0.017637252807617188,14.873289585113525,15.34949541091919,30.222784996032715,263.7971035675496,False,True,False
4,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r004,True,True,True,0.022046566009521484,14.736837387084961,15.20863389968872,29.94547128677368,268.0210571095187,False,True,False
5,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r005,True,True,True,0.02645587921142578,14.600385189056396,15.067772388458252,29.66815757751465,237.03234873571864,False,True,False
6,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r006,True,True,True,0.030865192413330078,14.463932991027832,14.926910877227783,29.390843868255615,197.76897824379384,False,True,False
7,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r007,True,True,True,0.035274505615234375,14.327480792999268,14.786049365997314,29.113530158996582,229.5778535496724,False,True,False
8,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r008,True,True,True,0.03968381881713867,14.191028594970703,14.645187854766846,28.83621644973755,288.28410381671563,False,True,False
9,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r009,True,True,True,0.04409313201904297,14.054576396942139,14.504326343536377,28.558902740478516,333.8460601485705,False,True,False
10,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r010,True,True,True,0.048502445220947266,13.918124198913574,14.363464832305908,28.281589031219482,293.9831820586997,False,True,False
11,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r011,True,True,True,0.05291175842285156,13.78167200088501,14.22260332107544,28.00427532196045,215.1821098610839,False,True,False
12,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r012,True,True,True,0.05732107162475586,13.645219802856445,14.08174180984497,27.726961612701416,251.15058590127256,True,True,True
13,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r013,True,True,True,0.061730384826660156,13.50876760482788,13.940880298614502,27.449647903442383,246.28711444255646,True,True,True
14,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r014,True,True,True,0.06613969802856445,13.372315406799316,13.800018787384033,27.17233419418335,200.89114556008929,True,True,True
15,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r015,True,True,True,0.07054901123046875,13.235863208770752,13.659157276153564,26.895020484924316,252.9386438940081,True,False,False
16,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r016,True,True,True,0.07495832443237305,13.099411010742188,13.518295764923096,26.617706775665283,222.05624082976934,True,False,False
17,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r017,True,True,True,0.07936763763427734,12.962958812713623,13.377434253692627,26.34039306640625,293.3649295059744,True,False,False
18,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r018,True,True,True,0.08377695083618164,12.826506614685059,13.236572742462158,26.063079357147217,240.15452409343374,True,False,False
19,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r019,True,True,True,0.08818626403808594,12.690054416656494,13.09571123123169,25.785765647888184,236.016796761623,True,False,False
20,0,True,/root/headinfer_ref/results/qwen7b_9216/dynamic_controller_isolated_r20/candidate_r020,True,True,True,0.09259557723999023,12.55360221862793,12.95484972000122,25.50845193862915,171.98141836511192,True,False,False
