method,sequence_length,decode_tokens,generated_token_ids,prefill_seconds,prefill_tokens_per_second,decode_seconds_mean,decode_seconds_std,prefill_peak_gpu_allocated_gib,prefill_peak_gpu_reserved_gib,decode_peak_gpu_allocated_gib,decode_peak_gpu_reserved_gib,cpu_rss_before_gib,cpu_rss_after_prefill_gib,cpu_rss_after_decode_gib,cache_cpu_gib,cache_gpu_gib,cache_total_gib,theoretical_cache_gib,cache_ratio,trial,status,error
standard,4096,5,"[220, 16, 15, 15, 4]",0.4035305648576468,10150.408312800155,0.0345551022910513,0.027128038754169657,14.999261379241943,15.20703125,14.50944471359253,15.20703125,1.2527236938476562,1.2527999877929688,1.33441162109375,0.0,0.218963623046875,0.218963623046875,0.218963623046875,1.0,1,ok,
standard,4096,5,"[220, 16, 15, 15, 4]",0.40281768795102835,10168.371753570966,0.021238279005046934,0.0003964587397313911,14.999261379241943,15.20703125,14.50944471359253,15.20703125,1.33441162109375,1.3344154357910156,1.3344688415527344,0.0,0.218963623046875,0.218963623046875,0.218963623046875,1.0,2,ok,
standard,4096,5,"[220, 16, 15, 15, 4]",0.4029139999765903,10165.941119539113,0.021074343821965158,0.00019129456089309608,14.999261379241943,15.20703125,14.50944471359253,15.20703125,1.3344688415527344,1.3344688415527344,1.3344917297363281,0.0,0.218963623046875,0.218963623046875,0.218963623046875,1.0,3,ok,
standard,4096,5,"[220, 16, 15, 15, 4]",0.40427181613631546,10131.797064524724,0.021527287259232253,0.0009254343882441307,14.999261379241943,15.20703125,14.50944471359253,15.20703125,1.3344917297363281,1.3344917297363281,1.3344917297363281,0.0,0.218963623046875,0.218963623046875,0.218963623046875,1.0,4,ok,
standard,4096,5,"[220, 16, 15, 15, 4]",0.4037058281246573,10146.001654291766,0.021059058723039925,0.00021351599138491245,14.999261379241943,15.20703125,14.50944471359253,15.20703125,1.3344917297363281,1.3344917297363281,1.3344955444335938,0.0,0.218963623046875,0.218963623046875,0.218963623046875,1.0,5,ok,
layer_offload,4096,5,"[220, 16, 15, 15, 4]",0.4251463839318603,9634.328680204604,0.11426571977790445,0.16244636140993785,14.796136379241943,15.0625,14.306121349334717,15.1015625,1.2613563537597656,1.4647369384765625,1.97625732421875,0.2033233642578125,0.0156402587890625,0.218963623046875,0.218963623046875,1.0,1,ok,
layer_offload,4096,5,"[220, 16, 15, 15, 4]",0.4120762951206416,9939.906877683497,0.03274413128383458,0.0002886208436472178,14.796136379241943,15.0625,14.306121349334717,15.1015625,1.97625732421875,1.9762649536132812,1.9762954711914062,0.2033233642578125,0.0156402587890625,0.218963623046875,0.218963623046875,1.0,2,ok,
layer_offload,4096,5,"[220, 16, 15, 15, 4]",0.41232364089228213,9933.944100648992,0.033148157701361924,0.0005920213548527532,14.796136379241943,15.0625,14.306121349334717,15.1015625,1.9762954711914062,1.9762954711914062,1.9763031005859375,0.2033233642578125,0.0156402587890625,0.218963623046875,0.218963623046875,1.0,3,ok,
layer_offload,4096,5,"[220, 16, 15, 15, 4]",0.41219118400476873,9937.136355523346,0.032560926221776754,0.0003534598954490039,14.796136379241943,15.0625,14.306121349334717,15.1015625,1.9763031005859375,1.9763031005859375,1.9763069152832031,0.2033233642578125,0.0156402587890625,0.218963623046875,0.218963623046875,1.0,4,ok,
layer_offload,4096,5,"[220, 16, 15, 15, 4]",0.4123573061078787,9933.133084656505,0.033206351450644433,0.00034463596155648324,14.796136379241943,15.0625,14.306121349334717,15.1015625,1.9763069152832031,1.9763069152832031,1.976318359375,0.2033233642578125,0.0156402587890625,0.218963623046875,0.218963623046875,1.0,5,ok,
standard,8192,5,"[220, 16, 15, 15, 4]",0.8597931140102446,9527.873469224354,0.040010024793446064,0.028712639594047046,15.764001369476318,16.076171875,14.78296422958374,16.076171875,1.2531013488769531,1.253204345703125,1.3348655700683594,0.0,0.437713623046875,0.437713623046875,0.437713623046875,1.0,1,ok,
standard,8192,5,"[220, 16, 15, 15, 4]",0.8627508780919015,9495.209113107823,0.025807304540649056,0.00042603656141410414,15.764001369476318,16.076171875,14.78296422958374,16.076171875,1.3348655700683594,1.334869384765625,1.3348922729492188,0.0,0.437713623046875,0.437713623046875,0.437713623046875,1.0,2,ok,
standard,8192,5,"[220, 16, 15, 15, 4]",0.863542502047494,9486.504694993515,0.025960398255847394,0.0006902205298892495,15.764001369476318,16.076171875,14.78296422958374,16.076171875,1.3348922729492188,1.3348922729492188,1.3349037170410156,0.0,0.437713623046875,0.437713623046875,0.437713623046875,1.0,3,ok,
standard,8192,5,"[220, 16, 15, 15, 4]",0.8637460540048778,9484.269088138419,0.025934050790965557,0.0006211622379674625,15.764001369476318,16.076171875,14.78296422958374,16.076171875,1.3349037170410156,1.3349037170410156,1.3349113464355469,0.0,0.437713623046875,0.437713623046875,0.437713623046875,1.0,4,ok,
standard,8192,5,"[220, 16, 15, 15, 4]",0.8633991649840027,9488.079595434614,0.02579877298558131,0.000386121198223991,15.764001369476318,16.076171875,14.78296422958374,16.076171875,1.3349113464355469,1.3349113464355469,1.3349189758300781,0.0,0.437713623046875,0.437713623046875,0.437713623046875,1.0,5,ok,
layer_offload,8192,5,"[220, 16, 15, 15, 4]",0.8788087130524218,9321.710035789483,0.19034293753793463,0.28898650456141817,15.357751369476318,16.076171875,14.376515865325928,16.115234375,1.26025390625,1.6668014526367188,2.6080474853515625,0.4064483642578125,0.0312652587890625,0.437713623046875,0.437713623046875,1.0,1,ok,
layer_offload,8192,5,"[220, 16, 15, 15, 4]",0.8806843459606171,9301.857172293074,0.0458594512892887,0.0005655429040876744,15.357751369476318,16.076171875,14.376515865325928,16.115234375,2.608051300048828,2.608062744140625,2.6080970764160156,0.4064483642578125,0.0312652587890625,0.437713623046875,0.437713623046875,1.0,2,ok,
layer_offload,8192,5,"[220, 16, 15, 15, 4]",0.8807334471493959,9301.338590596773,0.04604700772324577,0.0008567101757802275,15.357751369476318,16.076171875,14.376515865325928,16.115234375,2.6080970764160156,2.6080970764160156,2.608104705810547,0.4064483642578125,0.0312652587890625,0.437713623046875,0.437713623046875,1.0,3,ok,
layer_offload,8192,5,"[220, 16, 15, 15, 4]",0.8813003310933709,9295.355636411401,0.05007472028955817,0.004783558441409838,15.357751369476318,16.076171875,14.376515865325928,16.115234375,2.608104705810547,2.608104705810547,2.623737335205078,0.4064483642578125,0.0312652587890625,0.437713623046875,0.437713623046875,1.0,4,ok,
layer_offload,8192,5,"[220, 16, 15, 15, 4]",0.8831009780988097,9276.40236299614,0.04674078099196777,0.0012135224252468994,15.357751369476318,16.076171875,14.376515865325928,16.115234375,2.623737335205078,2.623737335205078,2.6237411499023438,0.4064483642578125,0.0312652587890625,0.437713623046875,0.437713623046875,1.0,5,ok,
standard,16384,5,"[198, 220, 16, 15, 15]",1.9087580828927457,8583.591680287662,0.048963916779030114,0.027989568932334424,17.29018545150757,17.798828125,15.329659938812256,17.798828125,1.2539596557617188,1.2540626525878906,1.3348884582519531,0.0,0.875213623046875,0.875213623046875,0.875213623046875,1.0,1,ok,
standard,16384,5,"[198, 220, 16, 15, 15]",1.9135499862022698,8562.096688425961,0.03547316265758127,0.0010450897749552264,17.29018545150757,17.798828125,15.329659938812256,17.798828125,1.3348922729492188,1.3348960876464844,1.3349189758300781,0.0,0.875213623046875,0.875213623046875,0.875213623046875,1.0,2,ok,
standard,16384,5,"[198, 220, 16, 15, 15]",1.9154553560074419,8553.57967420899,0.03551062918268144,0.0010753626351711675,17.29018545150757,17.798828125,15.329659938812256,17.798828125,1.3349189758300781,1.3349189758300781,1.3349266052246094,0.0,0.875213623046875,0.875213623046875,0.875213623046875,1.0,3,ok,
standard,16384,5,"[198, 220, 16, 15, 15]",1.9182687480933964,8541.034730552936,0.035474884789437056,0.0008155193075084368,17.29018545150757,17.798828125,15.329659938812256,17.798828125,1.3349266052246094,1.3349266052246094,1.334930419921875,0.0,0.875213623046875,0.875213623046875,0.875213623046875,1.0,4,ok,
standard,16384,5,"[198, 220, 16, 15, 15]",1.920325999846682,8531.884691093122,0.03561920620268211,0.001293130869743076,17.29018545150757,17.798828125,15.329659938812256,17.798828125,1.334930419921875,1.334930419921875,1.3349418640136719,0.0,0.875213623046875,0.875213623046875,0.875213623046875,1.0,5,ok,
layer_offload,16384,5,"[198, 220, 16, 15, 15]",1.9435604359023273,8429.88964857863,0.3569449652568437,0.5408183617699364,16.47768545150757,17.220703125,14.516961574554443,17.353515625,1.2597885131835938,2.0726051330566406,3.9044876098632812,0.8126983642578125,0.0625152587890625,0.875213623046875,0.875213623046875,1.0,1,ok,
layer_offload,16384,5,"[198, 220, 16, 15, 15]",1.9488679829519242,8406.931687175329,0.07462530949851498,0.0013284311835170888,16.47768545150757,17.220703125,14.516961574554443,17.353515625,3.9044876098632812,3.9044876098632812,3.9045181274414062,0.8126983642578125,0.0625152587890625,0.875213623046875,0.875213623046875,1.0,2,ok,
layer_offload,16384,5,"[198, 220, 16, 15, 15]",1.9479277860373259,8410.989420367585,0.07653310359455645,0.003052156084058001,16.47768545150757,17.220703125,14.516961574554443,17.353515625,3.9045181274414062,3.9045181274414062,3.9045448303222656,0.8126983642578125,0.0625152587890625,0.875213623046875,0.875213623046875,1.0,3,ok,
layer_offload,16384,5,"[198, 220, 16, 15, 15]",1.9488757541403174,8406.898164335398,0.07931083894800395,0.006626954537865948,16.47768545150757,17.220703125,14.516961574554443,17.353515625,3.9045486450195312,3.9045486450195312,3.9045562744140625,0.8126983642578125,0.0625152587890625,0.875213623046875,0.875213623046875,1.0,4,ok,
layer_offload,16384,5,"[198, 220, 16, 15, 15]",1.9502501860260963,8400.973432739242,0.07451924681663513,0.001114714142170401,16.47768545150757,17.220703125,14.516961574554443,17.353515625,3.9045562744140625,3.9045562744140625,3.9045562744140625,0.8126983642578125,0.0625152587890625,0.875213623046875,0.875213623046875,1.0,5,ok,
standard,32768,5,"[82, 220, 16, 15, 15]",4.51163413701579,7263.000279910622,0.0672188307507895,0.030186743536209152,20.34523916244507,21.447265625,16.423776149749756,21.447265625,1.2528762817382812,1.2529678344726562,1.3345870971679688,0.0,1.750213623046875,1.750213623046875,1.750213623046875,1.0,1,ok,
standard,32768,5,"[82, 220, 16, 15, 15]",4.530912674963474,7232.097007975144,0.053020012797787786,0.0017470481836505962,20.34523916244507,21.447265625,16.423776149749756,21.447265625,1.3345870971679688,1.3345909118652344,1.3346138000488281,0.0,1.750213623046875,1.750213623046875,1.750213623046875,1.0,2,ok,
standard,32768,5,"[82, 220, 16, 15, 15]",4.542748481966555,7213.254295297181,0.05297041026642546,0.001687347333021801,20.34523916244507,21.447265625,16.423776149749756,21.447265625,1.3346138000488281,1.3346138000488281,1.33465576171875,0.0,1.750213623046875,1.750213623046875,1.750213623046875,1.0,3,ok,
standard,32768,5,"[82, 220, 16, 15, 15]",4.548729883041233,7203.769149310678,0.052928592602256685,0.0016125725030687167,20.34523916244507,21.447265625,16.423776149749756,21.447265625,1.33465576171875,1.33465576171875,1.3346672058105469,0.0,1.750213623046875,1.750213623046875,1.750213623046875,1.0,4,ok,
standard,32768,5,"[82, 220, 16, 15, 15]",4.557257842971012,7190.288794069542,0.05292274244129658,0.0013500133322686895,20.34523916244507,21.447265625,16.423776149749756,21.447265625,1.3346672058105469,1.3346672058105469,1.3346672058105469,0.0,1.750213623046875,1.750213623046875,1.750213623046875,1.0,5,ok,
layer_offload,32768,5,"[82, 220, 16, 15, 15]",4.595560576068237,7130.359715122041,0.6976684237015434,1.0396883188403259,18.72023916244507,20.291015625,14.798577785491943,20.548828125,1.260528564453125,2.885845184326172,6.5302276611328125,1.6251983642578125,0.1250152587890625,1.750213623046875,1.750213623046875,1.0,1,ok,
layer_offload,32768,5,"[82, 220, 16, 15, 15]",4.595560648944229,7130.3596020494315,0.14789331675274298,0.004020961943929814,18.72023916244507,20.291015625,14.798577785491943,20.548828125,6.5302276611328125,6.5302276611328125,6.530265808105469,1.6251983642578125,0.1250152587890625,1.750213623046875,1.750213623046875,1.0,2,ok,
layer_offload,32768,5,"[82, 220, 16, 15, 15]",4.605383855989203,7115.150663801003,0.14903239853447303,0.00576708489540293,18.72023916244507,20.291015625,14.798577785491943,20.548828125,6.530265808105469,6.530265808105469,6.5302734375,1.6251983642578125,0.1250152587890625,1.750213623046875,1.750213623046875,1.0,3,ok,
layer_offload,32768,5,"[82, 220, 16, 15, 15]",4.613394915126264,7102.795360648888,0.15210099157411605,0.001579768600873947,18.72023916244507,20.291015625,14.798577785491943,20.548828125,6.5302734375,6.5302734375,6.530281066894531,1.6251983642578125,0.1250152587890625,1.750213623046875,1.750213623046875,1.0,4,ok,
layer_offload,32768,5,"[82, 220, 16, 15, 15]",4.622934508835897,7088.138483763925,0.1504729557200335,0.003013027734950688,18.72023916244507,20.291015625,14.798577785491943,20.548828125,6.530281066894531,6.530281066894531,6.530284881591797,1.6251983642578125,0.1250152587890625,1.750213623046875,1.750213623046875,1.0,5,ok,
