name,direction,pinned,non_blocking,dedicated_stream,size_mib,bytes,trial,wall_ms,cuda_ms,wall_gib_per_s,cuda_gib_per_s
h2d_pageable_blocking,h2d,False,False,False,4,4194304,1,0.27186330407857895,0.25065600872039795,14.368434214537993,15.58410676026262
h2d_pageable_blocking,h2d,False,False,False,4,4194304,2,0.2825027331709862,0.25948798656463623,13.827299850000824,15.053683416002716
h2d_pageable_blocking,h2d,False,False,False,4,4194304,3,0.2752300351858139,0.2529279887676239,14.192673402678613,15.444119170175526
h2d_pageable_blocking,h2d,False,False,False,4,4194304,4,0.27383724227547646,0.25142401456832886,14.264860278100402,15.536503172565517
h2d_pageable_blocking,h2d,False,False,False,4,4194304,5,0.28532836586236954,0.263839989900589,13.690366845209535,14.805375036103577
h2d_pageable_blocking,h2d,False,False,False,4,4194304,6,0.2730647101998329,0.2511039972305298,14.305217240050341,15.556303535916271
h2d_pageable_blocking,h2d,False,False,False,4,4194304,7,0.27548009529709816,0.2526080012321472,14.179790361213612,15.463682784973026
h2d_pageable_blocking,h2d,False,False,False,4,4194304,8,0.2995249815285206,0.27084800601005554,13.041483151307864,14.422295580256094
h2d_pageable_blocking,h2d,False,False,False,4,4194304,9,0.2728351391851902,0.2516480088233948,14.317254044570062,15.522673985238583
h2d_pageable_blocking,h2d,False,False,False,4,4194304,10,0.27165329083800316,0.2504960000514984,14.379542349551143,15.594061379011762
h2d_pageable_blocking,h2d,False,False,False,4,4194304,11,0.26633311063051224,0.2479040026664734,14.666783227787239,15.757107420550263
h2d_pageable_blocking,h2d,False,False,False,4,4194304,12,0.2682157792150974,0.2502079904079437,14.563833684323832,15.61201140551578
h2d_pageable_blocking,h2d,False,False,False,4,4194304,13,0.26513030752539635,0.2476159930229187,14.733321273071837,15.775434988314538
h2d_pageable_blocking,h2d,False,False,False,4,4194304,14,0.2656923606991768,0.24777600169181824,14.702153986364513,15.76524753538707
h2d_pageable_blocking,h2d,False,False,False,4,4194304,15,0.2664630301296711,0.24755200743675232,14.65963213770807,15.77951251717487
h2d_pageable_blocking,h2d,False,False,False,4,4194304,16,0.26654312387108803,0.24956800043582916,14.655227053950318,15.652046709427418
h2d_pageable_blocking,h2d,False,False,False,4,4194304,17,0.2670641988515854,0.2489279955625534,14.626632909979843,15.692288812964765
h2d_pageable_blocking,h2d,False,False,False,4,4194304,18,0.2651209942996502,0.2470719963312149,14.733838828263455,15.810168930530825
h2d_pageable_blocking,h2d,False,False,False,4,4194304,19,0.26928773149847984,0.25171199440956116,14.505859506718936,15.518728097017625
h2d_pageable_blocking,h2d,False,False,False,4,4194304,20,0.2654707059264183,0.24825599789619446,14.714429550214525,15.734765859044243
d2h_pageable_blocking,d2h,False,False,False,4,4194304,1,0.33104512840509415,0.3144640028476715,11.799750743409188,12.421930537760833
d2h_pageable_blocking,d2h,False,False,False,4,4194304,2,0.3238706849515438,0.3047359883785248,12.061141009364391,12.818472871500461
d2h_pageable_blocking,d2h,False,False,False,4,4194304,3,0.32348092645406723,0.3062080144882202,12.075673341298746,12.756850948296368
d2h_pageable_blocking,d2h,False,False,False,4,4194304,4,0.3298819065093994,0.3126400113105774,11.841358749661216,12.494402055658579
d2h_pageable_blocking,d2h,False,False,False,4,4194304,5,0.3262762911617756,0.3086079955101013,11.972215284447952,12.657643537534792
d2h_pageable_blocking,d2h,False,False,False,4,4194304,6,0.32196706160902977,0.3043519854545593,12.132452246756309,12.834646023964298
d2h_pageable_blocking,d2h,False,False,False,4,4194304,7,0.334802083671093,0.3164159953594208,11.667340767919086,12.345298775312681
d2h_pageable_blocking,d2h,False,False,False,4,4194304,8,0.32320013269782066,0.3048959970474243,12.086164592179141,12.811745768483842
d2h_pageable_blocking,d2h,False,False,False,4,4194304,9,0.32245833426713943,0.30457600951194763,12.113968177866607,12.825205787742023
d2h_pageable_blocking,d2h,False,False,False,4,4194304,10,0.3312453627586365,0.3132160007953644,11.792617917631976,12.471425438293933
d2h_pageable_blocking,d2h,False,False,False,4,4194304,11,0.32397080212831497,0.305759996175766,12.05741373709614,12.775543069259113
d2h_pageable_blocking,d2h,False,False,False,4,4194304,12,0.31999312341213226,0.3033599853515625,12.207293576646585,12.87661586439314
d2h_pageable_blocking,d2h,False,False,False,4,4194304,13,0.32792892307043076,0.31014400720596313,11.911880060549088,12.594955598822528
d2h_pageable_blocking,d2h,False,False,False,4,4194304,14,0.32242899760603905,0.304639995098114,12.115070384497068,12.822512023550722
d2h_pageable_blocking,d2h,False,False,False,4,4194304,15,0.32224785536527634,0.3043519854545593,12.12188051824942,12.834646023964298
d2h_pageable_blocking,d2h,False,False,False,4,4194304,16,0.32876990735530853,0.31091201305389404,11.881409802444095,12.563843904361725
d2h_pageable_blocking,d2h,False,False,False,4,4194304,17,0.3219679929316044,0.3044160008430481,12.132417152501876,12.831947036890478
d2h_pageable_blocking,d2h,False,False,False,4,4194304,18,0.3221379593014717,0.30486398935317993,12.126015848831864,12.813090874680752
